left,right,exact,approximate,sample
790,333,0.049014237245869716,0.05098670587381897,random
1022,1038,0.4146676583035727,0.41321492250278297,random
1623,616,0.2961469781387573,0.2973777118595504,random
47,157,0.13005063288121474,0.12878771669359154,random
646,1951,0.18951704699978947,0.191436362368803,random
340,739,0.05665036688917228,0.057503902915791875,random
1674,2003,0.042037614769024144,0.0437651075057541,random
1345,720,0.11723449595326209,0.11746074572278589,random
1057,821,0.04913900255198667,0.048917143054160436,random
248,1576,0.2071973803944622,0.21170693381744263,random
213,1393,0.624443709998405,0.6257734588584769,random
1049,1946,0.2038981293671215,0.21024846936776975,random
882,728,0.2764792301197094,0.27659430980463207,random
1600,109,0.20635559814983576,0.2046980096100304,random
1748,83,0.29765280688128826,0.30096527905952103,random
319,351,0.15076112847249037,0.15061057034660758,random
528,771,0.16360519316888625,0.16514036826351103,random
1152,1459,0.10240634654282353,0.10200798675856204,random
1100,77,0.0819264243821135,0.08276462645142038,random
108,151,0.15481926365179438,0.15775880728501301,random
1051,752,0.15111865122689871,0.1521471054128866,random
1621,1648,0.15898937952519707,0.16028501091926706,random
147,425,0.04541228370335969,0.04561115973355126,random
944,1965,0.1307629658441875,0.13109524553166904,random
682,745,0.08200477553205433,0.08433337626869161,random
959,1826,0.22441444581156547,0.22120006950024326,random
1204,1139,0.1544873964439318,0.15374208431983113,random
1404,2184,0.6276756073415796,0.6230368896150119,random
122,1963,0.13660948942319648,0.13588836909655194,random
1515,909,0.18670466889268808,0.18618183943132607,random
580,404,0.05022806491567068,0.051136301278921895,random
608,2170,0.34070414702844265,0.3418524473065553,random
493,2197,0.612237083320765,0.6126581736639439,random
1203,228,0.10370363897938285,0.10413150423224599,random
2127,1584,0.43534532227014894,0.43352574756478546,random
349,715,0.08795189298459913,0.08949183434540181,random
310,222,0.11116249424167485,0.11067243112141593,random
2205,705,0.5287483689182424,0.5275244785217089,random
1897,1294,0.06443598744565329,0.06608085826623657,random
1572,480,0.26066058808794745,0.2632956583673751,random
1390,1288,0.1023572379306483,0.10280220700318293,random
1137,1865,0.05573580572433145,0.060167610203372426,random
474,1150,0.15544500314613166,0.1558195731730441,random
279,1049,0.03803851469310518,0.04075272332365587,random
728,598,0.38379534287198325,0.3856726989880497,random
1548,781,0.1489574893330567,0.14996459859916378,random
724,1264,0.12268713658806028,0.1224624266592311,random
1502,353,0.1443835453868149,0.14326160274007727,random
771,1442,0.13687499902830552,0.1362003537406235,random
1054,1666,0.07163263461400403,0.07265281106765378,random
750,84,0.06832161728257313,0.07002029916015916,random
1273,601,0.4434971035964206,0.44357763356803115,random
1242,1560,0.12017720642412415,0.12081235369996117,random
1339,1031,0.05424422963400551,0.054818525168971774,random
399,1393,0.5458737347168071,0.5472959055802691,random
1559,1770,0.026794135066509395,0.026925044002778738,random
1433,289,0.07944194769010575,0.08076174797526761,random
1747,1055,0.04758569755438711,0.0493352422308105,random
1293,1382,0.633915532597272,0.6356292657590681,random
2017,797,0.3994444550073076,0.4024560568635077,random
1598,731,0.16911077719912523,0.16961604241354783,random
1077,49,0.22944557250373634,0.23047950881368928,random
420,595,0.032112175060072704,0.033811350024360615,random
1314,114,0.5282615812502546,0.5315225180421095,random
889,1846,0.1951004082480332,0.20053209095243682,random
1115,167,0.12115730887378279,0.1216469594880059,random
2075,299,0.06799918720923556,0.06921292574090143,random
86,1409,0.2013207458406889,0.20459076183318542,random
1770,2224,0.15506014699464998,0.15825760981031473,random
1043,906,0.061572599500613716,0.06528414678851205,random
484,619,0.04931411710807433,0.05173096398220302,random
781,264,0.1182748853842965,0.12075872870856054,random
1986,1986,0.0,0.0,random
2120,508,0.12519395938060493,0.12463457746175616,random
2181,940,0.373499742307423,0.37593641707710224,random
1999,1971,0.2073722013863184,0.20588770180794588,random
208,1950,0.05110910266112007,0.055621482241972206,random
64,1147,0.6647211820027166,0.6675490284082939,random
1872,1561,0.11409012911675406,0.11621229540848795,random
1999,1970,0.1595089758645892,0.15863180513694627,random
1453,436,0.04861736722225958,0.050218741968274694,random
1622,548,0.0616739189093391,0.06599892715686087,random
2081,1335,0.08451856634962569,0.08626441464704637,random
