merge,left,right,distance,height
600,381,405,0.01939875842893818,0.01939875842893818
601,1665,1696,0.019405753242181044,0.019405753242181044
602,806,925,0.019159089200490476,0.019408663035388234
603,1253,1255,0.019417182980653154,0.019417182980653154
604,213,704,0.017103370107418275,0.01941897618383445
605,724,995,0.019422190110473296,0.019422190110473296
606,691,1713,0.01692588706226892,0.01942797988634913
607,1469,1875,0.01943002476849982,0.01943002476849982
608,1683,2105,0.019403280000037833,0.01943295047088857
609,675,1333,0.019440457115278684,0.019440457115278684
610,1908,1912,0.01944383850284665,0.01944383850284665
611,771,1340,0.017585401638758134,0.01944788660233217
612,1541,1663,0.019451623322332558,0.019451623322332558
613,1342,1521,0.019459607996338443,0.019459607996338443
614,1106,1124,0.019472551141299553,0.019472551141299553
615,418,568,0.019479059482760165,0.019479059482760165
616,1615,1687,0.0194809868822208,0.0194809868822208
617,1809,1817,0.019145588430703887,0.01950071845934092
618,106,170,0.019506297972710702,0.019506297972710702
619,1458,1802,0.019511313805831283,0.019511313805831283
620,456,817,0.018546650664625207,0.019511395608823735
621,696,1154,0.018547965414530652,0.019517375879428155
622,1492,1747,0.01952489033779706,0.01952489033779706
623,273,1433,0.019528189096965406,0.019528189096965406
624,2134,2164,0.019542602635920066,0.019542602635920066
625,0,649,0.019554642138673965,0.019554642138673965
626,554,784,0.01872058718593099,0.019554766649197523
627,344,360,0.018236581232471336,0.019564875197030582
628,491,741,0.01928014066800778,0.019566611974846937
629,449,1501,0.019577689297204964,0.019577689297204964
630,242,552,0.018013139149429664,0.019578622723472733
631,25,122,0.019581416556063574,0.019581416556063574
632,335,340,0.01800118449929315,0.019581482676314616
633,253,446,0.018003303188757425,0.0195848084365328
634,267,425,0.01946086376613296,0.019586047617828138
635,91,363,0.01895429328010938,0.019591954010812734
636,1225,1630,0.018515060684990103,0.019594688726333232
637,1407,1408,0.01684705034336599,0.01961077351269182
638,130,689,0.016293533876830732,0.01962763326023443
639,474,1706,0.019496645950073048,0.01963029559701658
640,1040,1798,0.01963948177575526,0.01963948177575526
641,2190,2203,0.01964732820131642,0.01964732820131642
642,1003,2110,0.019655168133185255,0.019655168133185255
643,855,978,0.01965967037660267,0.01965967037660267
644,712,1326,0.018458750098943613,0.019660878490072153
645,1267,1313,0.017696195862748974,0.019665456161487353
646,686,1816,0.0186773015807072,0.01966689322326394
647,570,1017,0.018331951140334805,0.01966909203934013
648,471,786,0.01853038147091861,0.019669229292548343
649,1504,1981,0.01967489382288651,0.01967489382288651
650,1348,1733,0.018121895566582377,0.01967663514409549
651,763,1162,0.018332220164730097,0.01967769066005769
652,1288,1291,0.019679140043901235,0.019679140043901235
653,992,994,0.019683553073920855,0.019683553073920855
654,1372,1690,0.019686044639377745,0.019686044639377745
655,1308,1647,0.01969465572459994,0.01969465572459994
656,1119,1532,0.0196981779500549,0.0196981779500549
657,168,390,0.01817299252485565,0.01969868585503891
658,110,117,0.01771310843965588,0.0197022441774606
659,2027,2071,0.018316882574821503,0.0197052695642354
660,1539,1658,0.017595722639531693,0.01971054302187606
661,22,358,0.019719251194128637,0.019719251194128637
662,1440,2099,0.019721040155226875,0.019721040155226875
663,254,543,0.018833887555143043,0.019722033741280846
664,736,754,0.01886857621663904,0.019734609782622314
665,952,1248,0.018745872100778563,0.019734780475789537
666,1317,1720,0.019736703945433916,0.019736703945433916
667,727,890,0.019739478541647933,0.019739478541647933
668,251,388,0.019079997244418744,0.019742742315957088
669,1285,1500,0.01974499876446594,0.01974499876446594
670,508,2011,0.01975374290098779,0.01975374290098779
671,1309,2162,0.019761935745676584,0.019761935745676584
672,502,1721,0.019762998874135275,0.019762998874135275
673,2066,2098,0.019763101874759832,0.019763101874759832
674,1779,1963,0.019780866546081532,0.019780866546081532
675,938,950,0.01861509796524185,0.01978287570470693
676,764,1387,0.019784753196233344,0.019784753196233344
677,196,420,0.019789799974829596,0.019789799974829596
678,1016,1043,0.019792832394003,0.019792832394003
679,940,2006,0.019795278339263186,0.019795278339263186
680,2158,2188,0.01979713972804002,0.01979713972804002
681,1887,1915,0.01919592682126182,0.01979816024575238
682,87,785,0.019798447520417158,0.019798447520417158
683,327,533,0.01929629586052718,0.019800751249068764
684,2159,2187,0.01980239338442453,0.01980239338442453
685,1937,2076,0.019803580086605176,0.019803580086605176
686,392,1592,0.01980812979825556,0.01980812979825556
687,1280,1954,0.019809094275914194,0.019809094275914194
688,985,1420,0.019812838324144696,0.019812838324144696
689,166,256,0.019814632789176896,0.019814632789176896
690,211,688,0.01924197659188613,0.01981632141944222
691,662,864,0.019824581012567375,0.019824581012567375
692,561,649,0.01930055404264587,0.01982991815015122
693,1939,1957,0.01742764670109653,0.019834736226966524
694,967,979,0.019850652537071238,0.019850652537071238
695,576,819,0.018056190883119952,0.01985076125528599
696,647,797,0.018289388771004618,0.019852163564121617
697,559,1512,0.019854028753059916,0.019854028753059916
698,721,725,0.01986292398662557,0.01986292398662557
699,1577,1581,0.019863928288367548,0.019863928288367548
700,2036,2069,0.01681942032905831,0.019869412654658473
701,1065,1604,0.019130596273815928,0.019876538569509418
702,1241,1269,0.019784049247847657,0.019876842841724723
703,1664,1697,0.01987739203899522,0.01987739203899522
704,119,856,0.019880187285004035,0.019880187285004035
705,64,1667,0.019493035972118093,0.01988323502352115
706,1473,1967,0.019889085261406852,0.019889085261406852
707,183,338,0.017692730656149628,0.019901952222354857
708,1591,1794,0.019860559259998294,0.019907726626843633
709,1133,1533,0.01866732369012688,0.01992086215565615
710,933,948,0.018198555565494573,0.019932181590839863
711,205,226,0.018432839967164504,0.019934380509178368
712,683,1682,0.01764863375939573,0.019939448559668935
713,468,784,0.018782773833064495,0.01994200372045835
714,192,330,0.017091338511775606,0.019944604839277683
715,1857,2043,0.019944910511520576,0.019944910511520576
716,146,160,0.01994680726498937,0.01994680726498937
717,2056,2130,0.019956902158903597,0.019956902158903597
718,1120,1349,0.018407043003860347,0.01996716654135119
719,739,1623,0.018939683717839342,0.019969162662677585
720,1221,1839,0.018922161099081132,0.019982691103093465
721,225,1656,0.01998656168214823,0.01998656168214823
722,455,1528,0.018199868931198036,0.019988644749437647
723,195,705,0.01744331942834714,0.019991421455737027
724,622,800,0.01751967649176453,0.019992265245859186
725,1203,1744,0.02002499233200853,0.02002499233200853
726,506,2022,0.020029677830490374,0.020029677830490374
727,2048,2135,0.020031405824656748,0.020031405824656748
728,1274,1549,0.020031423121690747,0.020031423121690747
729,428,441,0.01801895273520663,0.020033499894334967
730,1791,2070,0.018888248006503232,0.020043042713009357
731,1068,1487,0.019550348471339324,0.020048512043614044
732,718,729,0.02006519646475117,0.02006519646475117
733,732,1031,0.017399733761945847,0.020070310797306905
734,27,28,0.020071149306992768,0.020071149306992768
735,9,656,0.020073613203039506,0.020073613203039506
736,1854,1882,0.020079186441851166,0.020079186441851166
737,199,1138,0.018832275202023203,0.02008028157858887
738,637,639,0.018611318793366943,0.02009057329200666
739,1536,1928,0.01904397323435482,0.02009213642016381
740,840,1293,0.020101511390770224,0.020101511390770224
741,1471,1472,0.020113534615466586,0.020113534615466586
742,155,878,0.018848902118556828,0.02011404374456079
743,228,356,0.01899612740631734,0.020119268460552165
744,1441,1525,0.020120827408106015,0.020120827408106015
745,1540,1683,0.018738669850954418,0.020129696121499976
746,1455,1821,0.020139059026305525,0.020139059026305525
747,1069,1845,0.019883121765565996,0.020141155535683845
748,1726,1871,0.01919075788236109,0.02014236174268164
749,841,2065,0.019350696030054872,0.02014387625580063
750,14,774,0.017877230807847137,0.020145726017654318
751,1955,2041,0.018979943532715485,0.020146558616383276
752,1490,1782,0.01887753182912554,0.02015626818197324
753,231,238,0.018950609267488417,0.02016089434516352
754,343,409,0.019902941124403876,0.020164120286776117
755,315,451,0.019189919797959136,0.020166114147971585
756,1064,1088,0.02016626487248665,0.02016626487248665
757,1342,1781,0.019244255490747035,0.020181627381057304
758,318,487,0.020182216916160317,0.020182216916160317
759,169,843,0.020185476534214417,0.020185476534214417
760,384,868,0.020185958506429826,0.020185958506429826
761,1096,1106,0.019520091751188146,0.020190107274581044
762,1019,1094,0.018731739324535646,0.020196356702279136
763,653,1731,0.020198879427477483,0.020198879427477483
764,1230,1677,0.020199857082437257,0.020199857082437257
765,445,1705,0.020209476187387544,0.020209476187387544
766,1109,1531,0.02021021993429056,0.02021021993429056
767,386,1276,0.020211699743773542,0.020211699743773542
768,1060,1678,0.0189353207893235,0.020212486570737844
769,1067,1893,0.020215075952457154,0.020215075952457154
770,773,1505,0.016468483465267074,0.020216454611830192
771,801,1508,0.018662202504334712,0.020236086618957986
772,285,1498,0.01852669761899676,0.020241153488557068
773,184,1483,0.020252828161213682,0.020252828161213682
774,158,822,0.020253748410180815,0.020253748410180815
775,488,541,0.020256267396696448,0.020256267396696448
776,1532,1608,0.02002728674560782,0.020257897006676573
777,517,1145,0.02026670617142716,0.02026670617142716
778,1847,1858,0.01897386284727699,0.02026993091966875
779,98,243,0.020273998975023487,0.020273998975023487
780,1347,1684,0.017987238276092415,0.02028276541489435
781,1940,1998,0.020287601054445922,0.020287601054445922
782,903,904,0.020292449136282434,0.020292449136282434
783,470,769,0.019243563821211167,0.020299774430254026
784,1708,1994,0.0203008983138148,0.0203008983138148
785,133,702,0.01787334134181332,0.020307380703231088
786,368,1379,0.01871564550800076,0.020311513554085753
787,504,1492,0.019062109452251955,0.02031500723846013
788,162,1318,0.020322625517991896,0.020322625517991896
789,193,906,0.020328408417602632,0.020328408417602632
790,941,975,0.02033187763071544,0.02033187763071544
791,1517,1929,0.02025170287153906,0.02033521854775225
792,1036,1475,0.018832315643336327,0.02033705917807945
793,1995,2038,0.018545976408995045,0.020338484011225438
794,220,232,0.01933182293877905,0.020341515900214335
795,1605,1624,0.019760874136551553,0.02034170342840589
796,1038,1527,0.016781657404613133,0.020342483271059444
797,310,1396,0.020342940044607766,0.020342940044607766
798,973,984,0.018672182542436397,0.020343936979770688
799,65,586,0.01996042622143699,0.02034820016363946
800,632,1748,0.019186366780423895,0.020354826156707615
801,1200,1201,0.020367873164222006,0.020367873164222006
802,209,212,0.02038758168471784,0.02038758168471784
803,1511,2082,0.019209155487809368,0.020388516849454762
804,1105,1125,0.01588137294439644,0.020393386953810193
805,1159,1202,0.020395988992907822,0.020395988992907822
806,837,882,0.020403601557893218,0.020403601557893218
807,248,550,0.02041789873265803,0.02041789873265803
808,914,921,0.020420161422853658,0.020420161422853658
809,1010,1839,0.019514422180751716,0.02043283483031759
810,295,300,0.02043394616202386,0.02043394616202386
811,29,30,0.020447822882994408,0.020447822882994408
812,1075,1519,0.020016804929165286,0.020448547472958344
813,1089,1482,0.02046009953334669,0.02046009953334669
814,1625,1765,0.018000223363438636,0.020464632217315648
815,286,757,0.018652369881815872,0.020472009029312566
816,174,210,0.020479508730418056,0.020479508730418056
817,1466,1643,0.0186711669150818,0.02048025256497618
818,1399,1560,0.018527197282688243,0.020481637924349667
819,272,283,0.018308280211161345,0.020489347667061956
820,599,684,0.0191509338716664,0.02049255161637458
821,1410,1427,0.016411759876007105,0.020498295387350686
822,1129,1343,0.019064156776842554,0.02050123216791304
