merge,left,right,distance,height
475,1276,1282,1.2076534563972818,1.2406210629582572
476,1279,1286,1.2407377934555095,1.2407377934555095
477,1388,1403,1.2007190306129878,1.2408806009222695
478,1569,1600,1.1893053766428396,1.2410873057359741
479,2110,2111,1.2375880371350827,1.2411028505094683
480,1842,1845,1.2412551251512671,1.2412551251512671
481,1899,1902,1.2413784306823068,1.2413784306823068
482,1644,1645,1.2414263795257112,1.2414263795257112
483,1247,1248,1.2414435036638267,1.2414435036638267
484,984,987,1.2224028417354873,1.2415492894087188
485,881,882,1.2415907615022033,1.2415907615022033
486,1813,1815,1.1925577040760007,1.241746034431771
487,2120,2122,1.2420392766035429,1.2420392766035429
488,1310,1311,1.2421419671948404,1.2421419671948404
489,1636,1652,1.2421967320390264,1.2421967320390264
490,407,409,1.2123198372356627,1.2424207190153174
491,109,110,1.2428092492140432,1.2428092492140432
492,356,374,1.2428639846554983,1.2428639846554983
493,1789,1905,1.2334792614532988,1.242915395536638
494,1521,1523,1.2429905511322616,1.2429905511322616
495,1408,1413,1.185337719894243,1.2432117852892113
496,1460,1463,1.2433017814383978,1.2433017814383978
497,2098,2108,1.2435035264960708,1.2435035264960708
498,1877,1878,1.2362577940435138,1.2435590211252052
499,198,199,1.2071463792566264,1.2439991999479025
500,1395,1396,1.2440778077904682,1.2440778077904682
501,616,620,1.2443135965385148,1.2443135965385148
502,1457,1671,1.2443682658089537,1.2443682658089537
503,262,264,1.244767961875452,1.244767961875452
504,1283,1288,1.2125933584929558,1.2449186411332285
505,1117,1141,1.1921904324439472,1.2450936596652822
506,671,674,1.245109480747625,1.245109480747625
507,1130,1285,1.2453450741627792,1.2453450741627792
508,773,782,1.215034782962828,1.2454009379968545
509,320,322,1.2186755384544377,1.245601910777825
510,94,97,1.24564888972077,1.24564888972077
511,180,184,1.1886295201005332,1.245891766095587
512,298,301,1.180964381659456,1.2459050465440256
513,357,359,1.2459287440998188,1.2459287440998188
514,101,390,1.245932156570137,1.245932156570137
515,1885,1887,1.2290212354873746,1.2460512240509671
516,1349,1518,1.217474803829297,1.246066477306739
517,1404,1405,1.230815364945139,1.246087655114128
518,1928,1937,1.2334103211860057,1.246146860626848
519,747,805,1.2329310798333573,1.246346842521018
520,788,797,1.2464950862317914,1.2464950862317914
521,230,278,1.2464984971516662,1.2464984971516662
522,244,271,1.2465905884604205,1.2465905884604205
523,1329,1350,1.2468497719218212,1.2468497719218212
524,891,894,1.210371843691021,1.2468763313364533
525,1666,1669,1.246917969141799,1.246917969141799
526,66,67,1.2470168484860842,1.2470168484860842
527,691,700,1.2471498117953697,1.2471498117953697
528,1300,1301,1.2305389837287533,1.2473434052422263
529,617,621,1.2474225126916985,1.2474225126916985
530,692,714,1.247555432765667,1.247555432765667
531,1353,1357,1.2475826966714536,1.2475826966714536
532,508,518,1.2475826966714536,1.2475826966714536
533,769,1819,1.247879153184467,1.247879153184467
534,1432,1458,1.2257199744567742,1.247951977994051
535,1105,1107,1.2480426852546709,1.2480426852546709
536,776,784,1.2187732206055841,1.24815985525949
537,1993,1995,1.2105369304006992,1.2484654744247252
538,1066,1067,1.2033506226733912,1.2485781583191127
539,812,813,1.2488089563755584,1.2488089563755584
540,2077,2078,1.2490574677824602,1.2490574677824602
541,924,953,1.21999010255827,1.2491444115713168
542,991,993,1.2385907891055643,1.2494532665633504
543,1659,1664,1.2499455770465502,1.2499455770465502
544,1235,1255,1.2298512160442185,1.2502061429591802
545,1750,1767,1.2502890822188473,1.2502890822188473
546,900,901,1.2388104619126448,1.2505181934508127
547,707,715,1.239747066588846,1.250599009115989
548,1955,1957,1.2401105392906975,1.2506475972814133
549,709,710,1.2509078336005683,1.2509078336005683
550,530,532,1.2509724108824778,1.2509724108824778
551,1797,1799,1.2510267891659579,1.2510267891659579
552,171,183,1.2510539774213463,1.2510539774213463
553,1804,1806,1.2277509718911215,1.2511395145686044
554,1499,1505,1.2474974949874658,1.2512573185927431
555,552,574,1.2268052088282657,1.251399609152343
556,767,791,1.2515704420561282,1.2515704420561282
557,1856,1867,1.2387040627615793,1.2517464532545517
558,96,210,1.2517946300884857,1.2517946300884857
559,757,768,1.2518218016671756,1.2518218016671756
560,756,760,1.2072696467649642,1.2518922979939533
561,1256,1257,1.1640519777066325,1.2519208147058656
562,1543,1548,1.1909594257326732,1.2520237109481225
563,277,279,1.25213083687491,1.25213083687491
564,1443,1444,1.2524194272561846,1.2524194272561846
565,1018,1034,1.2197182400185775,1.2526418537981976
566,375,376,1.2526943750488038,1.2526943750488038
567,566,575,1.2527317089839625,1.2527317089839625
568,992,994,1.1882216747304863,1.2528371576255222
569,1898,1907,1.2202375145178648,1.2528403038049918
570,961,969,1.1946984647887975,1.252858473559833
571,1296,1297,1.2179007812318587,1.2529506969495703
572,810,952,1.2529964086141676,1.2529964086141676
573,2055,2057,1.2419297306137393,1.253176658696301
574,498,512,1.2475179439223174,1.2532074266759652
575,1843,1849,1.253749478604894,1.253749478604894
576,1592,1614,1.2537698255701508,1.2537698255701508
577,234,265,1.2187348464084968,1.253947772118275
578,1677,1683,1.2293117924242003,1.2541566624881586
579,680,732,1.2542851719274244,1.2542851719274244
580,1537,1539,1.1975208233884627,1.2543390995585981
581,1324,1331,1.2377529288695592,1.2543604435350362
582,746,750,1.2544004177946002,1.2544004177946002
583,657,662,1.2222324004935923,1.2545419682789236
584,1882,1908,1.2258621844392201,1.2546561164531607
585,1170,1172,1.1954704763665003,1.2548392743036463
586,1227,1228,1.2553050690276577,1.2553050690276577
587,261,263,1.2554811799454744,1.2554811799454744
588,445,477,1.2459935794377122,1.2555749960102447
589,1377,1565,1.218853453659052,1.2557155172941856
590,1629,1630,1.232944873554569,1.2558550684365244
591,2167,2177,1.2231608434623773,1.2560299572047346
592,1215,1218,1.256185376718052,1.256185376718052
593,533,534,1.2562429138122144,1.2562429138122144
594,889,892,1.2182393618895855,1.2563058326554013
595,1322,1442,1.2565034900103402,1.2565034900103402
596,698,699,1.227931034647444,1.2566275247446628
597,382,399,1.242959765878139,1.2567894116563019
598,905,907,1.2568418200172284,1.2568418200172284
599,1617,1627,1.2568790307580067,1.2568790307580067
600,1088,1101,1.2506358926779704,1.256932603254048
601,1062,1103,1.2087795329106443,1.257070984285929
602,2141,2168,1.2572679861969158,1.2572679861969158
603,1502,1504,1.2203664276302741,1.257354660336375
604,722,724,1.2577480956490634,1.2577480956490634
605,557,560,1.2230217957686496,1.2579904407313727
606,1695,1704,1.2352910092569371,1.2580824170371074
607,929,942,1.2580894704456678,1.2580894704456678
608,1721,1727,1.2549324452642352,1.2581192288770056
609,1367,1368,1.2336619345296684,1.2582032603734064
610,2048,2136,1.2378628444899333,1.2582104857911114
611,806,807,1.2457922376222004,1.258225724199511
612,342,370,1.2263649898930484,1.2583153724344625
613,227,231,1.2230078901297938,1.2585168211964577
614,378,412,1.2400076804677662,1.2586748270720838
615,1858,1863,1.2588698905607945,1.2588698905607945
616,1572,1573,1.2591873256543036,1.2591873256543036
617,350,367,1.1769144195821588,1.2592728494783036
618,417,427,1.193409481475739,1.259550402071109
