stage,ensemble,arm,family,strength,quantile,converged,objective,mse,objective_gap,steps,open,closed,intermediate,recovery,tv,ess_fraction,open_conditional_ess,closed_conditional_ess,intermediate_conditional_ess,initial_population_tv,distance,sigma
uptake,ISO_TRI,10,scalar_logpf,0.1,0.16,True,0.057018515735347476,0.008457210817851816,5.33109853821476e-08,1000,0.06675266557810212,0.45757351510131794,0.4756738193205801,41.692648482023706,0.47567381932058006,0.3951668967233201,37.42648791982766,452.93878981296825,406.9348220814288,6.551828285877859e-07,,
uptake,ISO_TRI,11,scalar_logpf,0.1,0.32,True,0.06422383637027516,0.009583821591300602,1.4317906281234298e-07,1000,0.041130204754515266,0.46643976882051064,0.49243002642497397,38.82851398906711,0.492430026424974,0.5905177178877297,43.269678687764625,632.9107108727021,641.0928878703573,8.311748453147111e-06,,
uptake,ISO_TRI,12,scalar_logpf,0.1,0.64,True,0.07002322629656979,0.010472639470489053,0.0002597003209301682,1000,0.0331598595798789,0.45704150689481476,0.5097986335253064,37.228521261691974,0.5097986335253064,0.7215444737909958,43.93658237526471,731.6447877100208,832.0518162392276,0.00023978385511003175,,
uptake,ISO_TRI,13,profile_logpf,0.1,0.02,True,0.04607398435649224,0.006835204270683877,5.6600300735926656e-08,1000,0.10674758957145064,0.4905341636197864,0.40271824680876295,47.98895414467152,0.40271824680876295,0.2491871597835753,43.72852045414803,284.18812419056474,232.91136012594168,1.018702806832028e-08,,
uptake,ISO_TRI,14,profile_logpf,0.1,0.04,True,0.05058983713923335,0.007512617861685604,4.3712033009352344e-08,1000,0.0826015997266326,0.49314757681782573,0.4242508234555417,45.423766822613366,0.42425082345554166,0.3278053729737166,43.78692477646942,372.04802439243866,320.5131907109695,1.0611365702795084e-08,,
uptake,ISO_TRI,15,profile_logpf,0.1,0.08,True,0.055248335431041344,0.008221301081105725,2.8811049633662186e-08,1000,0.06397639015562089,0.4931947309811465,0.44282887886323274,43.17345483305522,0.44282887886323263,0.4194656315819809,43.832174448311925,472.2638655460072,423.5159426108763,8.816442280956682e-07,,
uptake,ISO_TRI,16,profile_logpf,0.1,0.16,True,0.06023360876120016,0.0089833277735297,6.913164031434656e-08,1000,0.050084575525031635,0.4916830200489779,0.45823240442599045,41.29105771633756,0.45823240442599045,0.5248599514460702,43.87104192584823,583.0023661071348,546.1671489197328,2.624622426339318e-08,,
uptake,ISO_TRI,17,profile_logpf,0.1,0.32,True,0.06523506924903054,0.009748627081756965,1.5790886904691862e-08,1000,0.04044095777871157,0.4894193952675674,0.47013964695372096,39.84227852676304,0.470139646953721,0.6291366017188422,43.9031928475488,691.9302166124481,667.883711579675,3.822297291993654e-06,,
uptake,ISO_TRI,18,profile_logpf,0.1,0.64,True,0.0701702228587791,0.010498152139552987,0.0004588441429476202,1000,0.03372442577689016,0.46516939848393635,0.5011061757391734,37.70265212090694,0.5011061757391735,0.7291400291096701,43.92737504054106,749.5179447400627,832.0105263207324,0.00024188847783740072,,
uptake,ISO_TRI,19,hybrid_logpf,0.1,0.02,True,0.013221565284131195,0.0020082659119684387,0.003755984913337011,3000,0.3560684756171571,0.3689494279411576,0.27498209644168553,60.190913938688475,0.2749820964416854,0.0034008101033767527,5.91236069761346,3.583418520591623,1.0397394042208383,0.0030846311764433643,,
uptake,ISO_TRI,20,hybrid_logpf,0.1,0.04,False,0.012609943125129516,0.0019129582617823382,0.044416107906952745,10000,0.35284856377438084,0.39750721050989124,0.24964422571572797,62.47437543922276,0.24964422571572795,0.003142842549588493,1.8401044176800054,9.550532183772752,1.05992829487979,0.022306244698983096,,
uptake,ISO_TRI,21,hybrid_logpf,0.1,0.08,True,0.024698363990019897,0.0037410662308828813,0.0005741275717229397,1000,0.2067055634986607,0.3326710301728974,0.46062340632844195,46.99598350122718,0.4606234063284419,0.003057440848337104,43.76041533467956,1.275568912601205,3.580361141491755,0.0006822537348422364,,
uptake,ISO_TRI,22,hybrid_logpf,0.1,0.16,True,0.02967908709718114,0.004492034166356508,0.00030196653513998184,3000,0.11401483101927411,0.5031581697407,0.3828269992400261,49.47521106008035,0.38282699924002594,0.0024442205986015693,43.98718790796323,3.173056364110833,1.4119729264008885,0.0006773909731290564,,
uptake,ISO_TRI,23,hybrid_logpf,0.1,0.32,True,0.057854374632224544,0.008588698229877775,0.0003459093297410495,1000,0.09174871642148373,0.45561014536970357,0.4526411382088128,44.444505082604344,0.45264113820881274,0.4097791114241273,43.995822233988186,567.2101572306046,379.7794726180765,0.0004445087340066989,,
uptake,ISO_TRI,24,hybrid_logpf,0.1,0.64,True,0.06286895725151323,0.009395603210763836,3.0693812958846284e-05,1000,0.06511999685835484,0.4578286383510287,0.4770513647906166,41.50867841692963,0.4770513647906165,0.5412190184878598,43.99244745198527,660.5252904758128,546.1562119943526,0.0002027610594814086,,
uptake,ISO_TRI,25,hierarchical_rmsd,0.1,0.02,False,0.011083426160831716,0.0016714696805087065,0.021035518043320853,10000,0.31785459018123513,0.44592996951380487,0.2362154403049601,63.98320812990546,0.23621544030496006,0.004012060502243877,2.833910294130398,8.923208297720985,1.031650714136904,,rmsd,0.0040816326530546
uptake,ISO_TRI,26,hierarchical_rmsd,0.1,0.04,True,0.013090872889039451,0.001988515288729228,0.0015632285894351813,1000,0.33810375824852673,0.43076175203136263,0.23113448972011066,64.29159399661508,0.23113448972011064,0.004117751084257626,3.807392100614356,6.004066040775894,1.1079676226493524,,rmsd,0.007993197278914
uptake,ISO_TRI,27,hierarchical_rmsd,0.1,0.08,True,0.013301493552542286,0.002020335363903088,6.403099261689747e-06,1000,0.34168594759956294,0.4344234516787051,0.22389060072173184,64.90001113918015,0.2238906007217319,0.004006010437086874,3.6742290987457538,5.81365778416987,1.0453217163173645,,rmsd,0.0159863945578315
uptake,ISO_TRI,28,hierarchical_rmsd,0.1,0.16,True,0.015280256251905239,0.0023188599428458777,0.003672708686309373,1000,0.3281111260238369,0.4683229210284725,0.20356595294769075,66.80123619041906,0.20356595294769067,0.0041542351603661995,2.3211601282709933,9.766916321415142,1.0530565277753619,,rmsd,0.0321428571428636
uptake,ISO_TRI,29,hierarchical_rmsd,0.1,0.32,True,0.01563689380705009,0.002370014574259515,0.00504396866571912,3000,0.2912647243500729,0.46664492500737503,0.24209035064255194,63.49398757432564,0.24209035064255202,0.0032359974236237906,1.2199080400808942,14.370421210358863,1.0814900831862466,,rmsd,0.0656462585034152
uptake,ISO_TRI,30,hierarchical_rmsd,0.1,0.64,True,0.021081532682667443,0.0031985273194458973,0.0035005216183059615,3000,0.18506471081056552,0.5541474026018499,0.2607878865875844,59.9739913976079,0.26078788658758445,0.004884887479392605,41.897824723563524,9.41687542985361,1.1610030867442203,,rmsd,0.1454081632653086
uptake,ISO_TRI,31,hierarchical_w1,0.1,0.02,True,0.011203279589065017,0.0017020658453270343,1.2356456436104693e-06,3000,0.3181843341889828,0.4624864985207907,0.21932916729022672,65.43545291371566,0.2193291672902266,0.004039290743393899,2.3789633620946313,9.712459024643719,1.0303760871346974,,w1,0.0040816326530546
uptake,ISO_TRI,32,hierarchical_w1,0.1,0.04,True,0.011890638429056355,0.0018062681990344955,5.344974534780242e-06,3000,0.3299349271736969,0.4504320272851541,0.2196330455411491,65.36573719533487,0.21963304554114907,0.0037261488841032267,2.1628062754756954,8.358438788149156,1.0483842023886247,,w1,0.007993197278914
uptake,ISO_TRI,33,hierarchical_w1,0.1,0.08,True,0.01247880278723614,0.0018949794518231284,2.249566998059645e-06,1000,0.33781074561125857,0.458896510077766,0.20329274431097538,66.78236878125242,0.2032927443109754,0.0037791468734115546,2.2312531790566115,7.303410712357786,1.0611188636700775,,w1,0.0159863945578315
uptake,ISO_TRI,34,hierarchical_w1,0.1,0.16,True,0.013399514042975418,0.0020318766577307173,8.692711332309908e-05,1000,0.33985912811732727,0.44730702582585097,0.2128338460568218,65.90599881321441,0.21283384605682176,0.003665706839205878,2.482245575652795,5.848182855259845,1.082109631358162,,w1,0.0321428571428636
uptake,ISO_TRI,35,hierarchical_w1,0.1,0.32,False,0.01534201672177359,0.002330727665754441,0.06297118284169305,3000,0.3343844272007285,0.4498820594401516,0.2157335133591199,65.6849282196238,0.21573351335911992,0.003368674183441876,1.9787047543776517,6.559560662290319,1.0105734286997157,,w1,0.0656462585034152
uptake,ISO_TRI,36,hierarchical_w1,0.1,0.64,True,0.01578887425993659,0.0023985292542322676,0.0029862096810099456,3000,0.30334383626436723,0.45274847114974054,0.24390769258589234,63.36492439351367,0.2439076925858923,0.002575258545474059,1.0318272612946833,6.4519437253851235,1.110486610507618,,w1,0.1454081632653086
