# Iteration, weighted MSE to target, weighted RMSE to target, Total lambdas, Fractional change in lambda, Curr. stepsize, Beta_C, Beta_H 
    22 0.053286 0.230838 1.99966760e-01 4.53748430e-02 1.66293951e-04 3.50000000e-01 2.00000000e+00 
    23 0.053172 0.230590 2.09038690e-01 4.33983291e-02 1.66402093e-04 3.50000000e-01 2.00000000e+00 
    24 0.053058 0.230344 2.18109088e-01 4.15865196e-02 1.66509322e-04 3.50000000e-01 2.00000000e+00 
    25 0.052946 0.230100 2.27177952e-01 3.99196499e-02 1.66615881e-04 3.50000000e-01 2.00000000e+00 
    26 0.052835 0.229858 2.36245281e-01 3.83809960e-02 1.66722000e-04 3.50000000e-01 2.00000000e+00 
    27 0.052724 0.229617 2.45311073e-01 3.69563115e-02 1.66827902e-04 3.50000000e-01 2.00000000e+00 
    28 0.052614 0.229378 2.54375327e-01 3.56333852e-02 1.66933798e-04 3.50000000e-01 2.00000000e+00 
    29 0.052506 0.229142 2.63438041e-01 3.44016903e-02 1.67039890e-04 3.50000000e-01 2.00000000e+00 
    30 0.052398 0.228906 2.72499213e-01 3.32521034e-02 1.67146369e-04 3.50000000e-01 2.00000000e+00 
    31 0.052291 0.228673 2.81558842e-01 3.21766784e-02 1.67253414e-04 3.50000000e-01 2.00000000e+00 
    32 0.052185 0.228441 2.90616924e-01 3.11684625e-02 1.67361196e-04 3.50000000e-01 2.00000000e+00 
    33 0.052080 0.228211 2.99673460e-01 3.02213455e-02 1.67469870e-04 3.50000000e-01 2.00000000e+00 
    34 0.051976 0.227983 3.08728445e-01 2.93299361e-02 1.67579584e-04 3.50000000e-01 2.00000000e+00 
    35 0.051873 0.227756 3.17781879e-01 2.84894593e-02 1.67690473e-04 3.50000000e-01 2.00000000e+00 
    36 0.051771 0.227532 3.26833759e-01 2.76956705e-02 1.67802661e-04 3.50000000e-01 2.00000000e+00 
    37 0.051669 0.227309 3.35884083e-01 2.69447839e-02 1.67916260e-04 3.50000000e-01 2.00000000e+00 
    38 0.051569 0.227087 3.44932849e-01 2.62334124e-02 1.68031371e-04 3.50000000e-01 2.00000000e+00 
    39 0.051469 0.226868 3.53980054e-01 2.55585162e-02 1.68148084e-04 3.50000000e-01 2.00000000e+00 
