bc,bh,legacy_combined_mse,fast_combined_mse,slow-N_combined_mse
0.1,3.9000000000000004,0.06898015411748852,0.06128362060306972,0.06782616210846631
0.1,4.0,0.07094718264249272,0.06237462390094913,0.06970016149110832
0.125,0.0,0.08308474211103402,0.08397695723191054,0.08274161084352942
0.125,0.1,0.08035135904455154,0.081251065063803,0.08001098272863609
0.125,0.2,0.07767997385488011,0.07859635019317823,0.0773376964018327
0.125,0.30000000000000004,0.07507786774376919,0.07602012583061528,0.07473039058502651
0.125,0.4,0.07255372664885981,0.0735305957399531,0.0721996884663397
0.125,0.5,0.07011826500978813,0.07113725269165577,0.06975856154819816
0.125,0.6000000000000001,0.06778446752108634,0.06885094240989652,0.0674220366760652
0.125,0.7000000000000001,0.06556712021172542,0.06668340415120139,0.0652060962454665
0.125,0.8,0.06348158005294169,0.06464631999167178,0.06312603927964695
0.125,0.9,0.06154214354772605,0.06275016080224488,0.06119492978937857
0.125,1.0,0.059760621414683725,0.061003223960597534,0.05942274664481095
0.125,1.1,0.058145624278156595,0.05941115133455786,0.05781645591031862
0.125,1.2000000000000002,0.056702696250269274,0.05797698581373465,0.05638075222505849
0.125,1.3,0.0554350561207457,0.05670161873590536,0.05511897503582376
0.125,1.4000000000000001,0.0543445282864746,0.05558439313447889,0.05403377638924096
0.125,1.5,0.05343229746710971,0.05462365865231667,0.05312736343734307
0.125,1.6,0.052699303318600316,0.053817165528801725,0.052401379293031965
0.125,1.7000000000000002,0.05214628152009793,0.05316227820599815,0.0518566123511704
0.125,1.8,0.05177357588129458,0.052656050118732006,0.051492728270229896
0.125,1.9000000000000001,0.05158087715433122,0.05229522225255072,0.05130814798970393
0.125,2.0,0.05156701789123479,0.05207619952422313,0.05130010192935835
0.125,2.1,0.05172989535443913,0.051995038496390485,0.05146481571856022
0.125,2.2,0.05206652622885829,0.05204746035787409,0.051797745309402114
0.125,2.3000000000000003,0.05257318442059716,0.052228888845729946,0.05229377868074271
0.125,2.4000000000000004,0.05324555203998819,0.05253450362531232,0.05294735733588062
0.125,2.5,0.05407882073834591,0.05295929527255642,0.05375253173895901
0.125,2.6,0.05506771224829308,0.053498108494415095,0.05470300984353155
0.125,2.7,0.056206434978432356,0.05414566465041546,0.0557922514103515
0.125,2.8000000000000003,0.05748863111704963,0.05489656093045347,0.05701361402764643
0.125,2.9000000000000004,0.05890736964556692,0.055745249569908575,0.05836051223927594
0.125,3.0,0.060455207750148,0.056686004844473656,0.059826538637859444
0.125,3.1,0.06212430416214949,0.057712887632641936,0.061405513520846604
0.125,3.2,0.06390654795195656,0.05881971693827846,0.06309145846129124
0.125,3.3000000000000003,0.06579367008755249,0.06000005530914548,0.06487851174889388
0.125,3.4000000000000004,0.06777732178385755,0.061247211508648564,0.06676081349496515
0.125,3.5,0.06984912015144398,0.06255426039102895,0.06873238712754479
0.125,3.6,0.07200067100266028,0.06391407780766521,0.07078703706625644
0.125,3.7,0.07422358071194861,0.06531938789894481,0.07291827400357648
0.125,3.8000000000000003,0.07650946667818966,0.06676282073985713,0.07511927196785566
0.125,3.9000000000000004,0.07884997199389497,0.06823697890685038,0.07738285606576113
0.125,4.0,0.0812367859453216,0.06973451120541826,0.07970151640772986
0.15000000000000002,0.0,0.06365049425382048,0.06475143269051022,0.06330630827739135
0.15000000000000002,0.1,0.06160075258163613,0.06268921307030614,0.06127217671935293
0.15000000000000002,0.2,0.059660094370643624,0.060741294853752605,0.059344825079247314
0.15000000000000002,0.30000000000000004,0.0578407126810591,0.05891841099831012,0.05753751867908121
0.15000000000000002,0.4,0.056155625420073074,0.057231545456605644,0.05586390868255579
0.15000000000000002,0.5,0.054617354248133264,0.055690766695125814,0.054336567926384575
0.15000000000000002,0.6000000000000001,0.053236549394113514,0.05430410233211642,0.0529657329049021
0.15000000000000002,0.7000000000000001,0.052021093548027156,0.05307686592152861,0.051758743657898613
0.15000000000000002,0.8,0.050975966741665865,0.05201160533120033,0.050720289245546335
0.15000000000000002,0.9,0.05010377996472934,0.05110855819969856,0.0498531654048892
0.15000000000000002,1.0,0.04940562715557535,0.05036633958499648,0.049159089690703185
0.15000000000000002,1.1,0.04888187239613918,0.04978259273953954,0.048639231937083756
0.15000000000000002,1.2000000000000002,0.04853263089755091,0.04935444362835847,0.048294355751840504
0.15000000000000002,1.3,0.04835789486424536,0.04907872589856079,0.04812466314868699
0.15000000000000002,1.4000000000000001,0.048357393395281216,0.0489520276738865,0.04812951855587443
0.15000000000000002,1.5,0.048530327715566146,0.048970640117117825,0.04830721692446808
0.15000000000000002,1.6,0.04887511765408882,0.049130477895563074,0.04865489162890697
0.15000000000000002,1.7000000000000002,0.04938925568131226,0.04942701863594761,0.04916857083560267
0.15000000000000002,1.8,0.05006929743051897,0.049855285036781175,0.0498433292886171
0.15000000000000002,1.9000000000000001,0.050910951284152225,0.05040987179698673,0.050673464939456236
0.15000000000000002,2.0,0.05190920062382622,0.05108500270593677,0.05165264561041574
0.15000000000000002,2.1,0.053058401425927645,0.05187459607887455,0.05277400791154509
0.15000000000000002,2.2,0.05435232502153097,0.05277232026235439,0.05403023442304587
0.15000000000000002,2.3000000000000003,0.05578415091414694,0.053771630468280554,0.055413656353698534
0.15000000000000002,2.4000000000000004,0.057346447262875834,0.054865787584972264,0.05691640908498277
0.15000000000000002,2.5,0.059031187392271756,0.056047865377280334,0.05853062495446457
0.15000000000000002,2.6,0.06082983095894851,0.057310754231266976,0.06024861645736535
0.15000000000000002,2.7,0.06273346381998324,0.05864716850043211,0.06206300227483745
0.15000000000000002,2.8000000000000003,0.06473296541328998,0.0600496620540919,0.06396675116739167
0.15000000000000002,2.9000000000000004,0.06681916828540241,0.06151065403856728,0.06595314681580236
