stage,ensemble,family,arm,start,open,closed,intermediate,recovery,tv,ess_fraction,open_conditional_ess,closed_conditional_ess,intermediate_conditional_ess
uptake,ISO_TRI,scalar_logpf,12,0,0.033146728780775646,0.456814853838808,0.5100384173804164,37.21566252080596,0.5100384173804164,0.7219586201050593,43.93640964682228,731.6252426955087,833.0003619185082
uptake,ISO_TRI,scalar_logpf,12,1,0.0331598595798789,0.45704150689481476,0.5097986335253064,37.228521261691974,0.5097986335253064,0.7215444737909958,43.93658237526471,731.6447877100208,832.0518162392276
uptake,ISO_TRI,profile_logpf,13,0,0.10674758957145064,0.4905341636197864,0.40271824680876295,47.98895414467152,0.40271824680876295,0.2491871597835753,43.72852045414803,284.18812419056474,232.91136012594168
uptake,ISO_TRI,profile_logpf,13,1,0.10674758880624888,0.49053417380681447,0.40271823738693663,47.98895462640609,0.40271823738693663,0.2491871675367723,43.728520619184636,284.18813276528795,232.91136963754607
uptake,ISO_TRI,profile_logpf,14,0,0.0826015997266326,0.49314757681782573,0.4242508234555417,45.423766822613366,0.42425082345554166,0.3278053729737166,43.78692477646942,372.04802439243866,320.5131907109695
uptake,ISO_TRI,profile_logpf,14,1,0.08260159308923636,0.49314757284385624,0.4242508340669074,45.423765839290276,0.4242508340669074,0.32780537482554667,43.78692420925429,372.0480173654753,320.5131990578348
uptake,ISO_TRI,profile_logpf,15,0,0.06397639015562089,0.4931947309811465,0.44282887886323274,43.17345483305522,0.44282887886323263,0.4194656315819809,43.832174448311925,472.2638655460072,423.5159426108763
uptake,ISO_TRI,profile_logpf,15,1,0.06397628615773975,0.49319395333479954,0.4428297605074608,43.17340246934671,0.44282976050746076,0.41946572290352824,43.83217387540441,472.2638766509858,423.5160690789381
uptake,ISO_TRI,profile_logpf,16,0,0.050084575525031635,0.4916830200489779,0.45823240442599045,41.29105771633756,0.45823240442599045,0.5248599514460702,43.87104192584823,583.0023661071348,546.1671489197328
uptake,ISO_TRI,profile_logpf,16,1,0.050084550459451274,0.49168304629520215,0.45823240324534653,41.291055621309184,0.45823240324534653,0.5248600324203411,43.871041466260415,583.0024237288621,546.1672579966836
uptake,ISO_TRI,profile_logpf,17,0,0.04044095777871157,0.4894193952675674,0.47013964695372096,39.84227852676304,0.470139646953721,0.6291366017188422,43.9031928475488,691.9302166124481,667.883711579675
uptake,ISO_TRI,profile_logpf,17,1,0.040441146820782474,0.4894230285227885,0.470135824656429,39.842479895218176,0.470135824656429,0.6291361577374387,43.90319256589559,691.9303809873305,667.8827443646601
uptake,ISO_TRI,profile_logpf,18,0,0.03372442577689016,0.46516939848393635,0.5011061757391734,37.70265212090694,0.5011061757391735,0.7291400291096701,43.92737504054106,749.5179447400627,832.0105263207324
uptake,ISO_TRI,profile_logpf,18,1,0.03371369301311711,0.46493824276987206,0.5013480642170108,37.68997677797699,0.5013480642170108,0.7295302411307882,43.92730647987552,749.5162230624176,832.8886710234522
rate,ISO_BI,unregularised,0,0,0.11929165807175994,0.88070834192824,0.0,72.23752649680782,0.28070834192824,0.02037501873094377,4.393001142983566,14.658107233047733,
rate,ISO_BI,unregularised,0,1,0.1192901598220122,0.8807098401779877,0.0,72.23734132301001,0.2807098401779878,0.020374034960170342,4.392963232278762,14.657391244472377,
rate,ISO_BI,maxent,1,0,0.11880383031716162,0.8811961696828383,0.0,72.17719279323,0.28119616968283834,0.02033274953326519,4.415253430485596,14.630286632990275,
rate,ISO_BI,maxent,1,1,0.11890138064227779,0.8810986193577224,0.0,72.18926430523702,0.2810986193577223,0.020334214623197528,4.414566931543892,14.629750047728034,
rate,ISO_BI,maxent,2,0,0.11798067150166947,0.8820193284983306,0.0,72.07519664673364,0.2820193284983306,0.02006970594280068,4.390146927042628,14.449730694931885,
rate,ISO_BI,maxent,2,1,0.1179876457273649,0.882012354272635,0.0,72.07606181387767,0.28201235427263505,0.020069018904863033,4.38921646966292,14.44925941344593,
rate,ISO_BI,maxent,3,0,0.115809536774568,0.8841904632254319,0.0,71.80501998698567,0.28419046322543196,0.01916288702139234,4.580134934356229,13.769032968437893,
rate,ISO_BI,maxent,3,1,0.11580941824402144,0.8841905817559786,0.0,71.80500519075738,0.2841905817559786,0.019162878123510845,4.5801437637804865,13.76902711447506,
rate,ISO_BI,maxent,4,0,0.10566967439846177,0.8943303256015382,0.0,70.5198715087755,0.29433032560153827,0.020154264008172343,6.352579131068005,14.538964748117959,
rate,ISO_BI,maxent,4,1,0.10566967439846159,0.8943303256015384,0.0,70.51987150877547,0.2943303256015384,0.020154264008172215,6.352579131067999,14.538964748117865,
rate,ISO_BI,maxent,5,0,0.06545399170977595,0.934546008290224,0.0,64.94332967519935,0.3345460082902241,0.9287801609716358,40.808334392972036,775.0141942598353,
rate,ISO_BI,maxent,5,1,0.06545399170977594,0.9345460082902239,0.0,64.94332967519935,0.334546008290224,0.9287801609716362,40.808334392972014,775.0141942598353,
rate,ISO_BI,maxent,6,0,0.052077235340041765,0.9479227646599582,0.0,62.853244914039294,0.3479227646599582,0.9991711201735699,43.97876490626174,829.3507959191634,
