ensemble,family,arm,component,population,uniform_population,true_population_diagnostic
ISO_BI,scalar_logpf,12,0,0.9111984309524133,0.9496567505720824,0.6000000000000002
ISO_BI,scalar_logpf,12,1,0.08880156904758682,0.05034324942791762,0.4000000000000001
ISO_BI,profile_logpf,13,0,0.7181890078125415,0.9496567505720824,0.6000000000000002
ISO_BI,profile_logpf,13,1,0.28181099218745853,0.05034324942791762,0.4000000000000001
ISO_BI,profile_logpf,14,0,0.7685802842144742,0.9496567505720824,0.6000000000000002
ISO_BI,profile_logpf,14,1,0.2314197157855259,0.05034324942791762,0.4000000000000001
ISO_BI,profile_logpf,15,0,0.8147614395616329,0.9496567505720824,0.6000000000000002
ISO_BI,profile_logpf,15,1,0.18523856043836706,0.05034324942791762,0.4000000000000001
ISO_BI,profile_logpf,16,0,0.8578343175575438,0.9496567505720824,0.6000000000000002
ISO_BI,profile_logpf,16,1,0.14216568244245625,0.05034324942791762,0.4000000000000001
ISO_BI,profile_logpf,17,0,0.8873735384670439,0.9496567505720824,0.6000000000000002
ISO_BI,profile_logpf,17,1,0.11262646153295594,0.05034324942791762,0.4000000000000001
ISO_BI,profile_logpf,18,0,0.9074789298701523,0.9496567505720824,0.6000000000000002
ISO_BI,profile_logpf,18,1,0.09252107012984784,0.05034324942791762,0.4000000000000001
ISO_TRI,unregularised,0,0,1.0,1.0,1.0
ISO_TRI,maxent,1,0,1.0,1.0,1.0
ISO_TRI,maxent,2,0,0.9999999999999999,1.0,1.0
ISO_TRI,maxent,3,0,0.9999999999999999,1.0,1.0
ISO_TRI,maxent,4,0,1.0,1.0,1.0
ISO_TRI,maxent,5,0,0.9999999999999999,1.0,1.0
ISO_TRI,maxent,6,0,0.9999999999999999,1.0,1.0
ISO_TRI,scalar_logpf,7,0,0.9999999999999998,1.0,1.0
ISO_TRI,scalar_logpf,8,0,1.0000000000000004,1.0,1.0
ISO_TRI,scalar_logpf,9,0,1.0,1.0,1.0
ISO_TRI,scalar_logpf,10,0,1.0000000000000002,1.0,1.0
ISO_TRI,scalar_logpf,11,0,0.9999999999999998,1.0,1.0
ISO_TRI,scalar_logpf,12,0,1.0,1.0,1.0
ISO_TRI,profile_logpf,13,0,1.0,1.0,1.0
ISO_TRI,profile_logpf,14,0,1.0,1.0,1.0
ISO_TRI,profile_logpf,15,0,1.0000000000000002,1.0,1.0
ISO_TRI,profile_logpf,16,0,1.0,1.0,1.0
ISO_TRI,profile_logpf,17,0,1.0,1.0,1.0
ISO_TRI,profile_logpf,18,0,0.9999999999999998,1.0,1.0
ISO_BI,hybrid_logpf,19,0,0.6289385472671418,0.9496567505720824,0.6000000000000002
ISO_BI,hybrid_logpf,19,1,0.37106145273285823,0.05034324942791762,0.4000000000000001
ISO_BI,hybrid_logpf,20,0,0.6188151937310206,0.9496567505720824,0.6000000000000002
ISO_BI,hybrid_logpf,20,1,0.38118480626897944,0.05034324942791762,0.4000000000000001
ISO_BI,hybrid_logpf,21,0,0.5601046815242653,0.9496567505720824,0.6000000000000002
ISO_BI,hybrid_logpf,21,1,0.4398953184757349,0.05034324942791762,0.4000000000000001
ISO_BI,hybrid_logpf,22,0,0.6152149027702853,0.9496567505720824,0.6000000000000002
ISO_BI,hybrid_logpf,22,1,0.38478509722971477,0.05034324942791762,0.4000000000000001
ISO_BI,hybrid_logpf,23,0,0.6061374968457185,0.9496567505720824,0.6000000000000002
ISO_BI,hybrid_logpf,23,1,0.3938625031542815,0.05034324942791762,0.4000000000000001
ISO_BI,hybrid_logpf,24,0,0.597085890958925,0.9496567505720824,0.6000000000000002
ISO_BI,hybrid_logpf,24,1,0.4029141090410749,0.05034324942791762,0.4000000000000001
ISO_TRI,hybrid_logpf,19,0,1.0,1.0,1.0
ISO_TRI,hybrid_logpf,20,0,1.0,1.0,1.0
ISO_TRI,hybrid_logpf,21,0,1.0000000000000002,1.0,1.0
ISO_TRI,hybrid_logpf,22,0,1.0,1.0,1.0
ISO_TRI,hybrid_logpf,23,0,1.0,1.0,1.0
ISO_TRI,hybrid_logpf,24,0,1.0,1.0,1.0
