stage,ensemble,arm,family,strength,quantile,converged,objective,mse,objective_gap,steps,open,closed,intermediate,recovery,tv,ess_fraction,open_conditional_ess,closed_conditional_ess,intermediate_conditional_ess,initial_population_tv
uptake,ISO_TRI,13,profile_logpf,0.1,0.02,True,0.04607398435649224,0.006835204270683877,5.6600300735926656e-08,1000,0.10674758957145064,0.4905341636197864,0.40271824680876295,47.98895414467152,0.40271824680876295,0.2491871597835753,43.72852045414803,284.18812419056474,232.91136012594168,1.018702806832028e-08
uptake,ISO_TRI,14,profile_logpf,0.1,0.04,True,0.05058983713923335,0.007512617861685604,4.3712033009352344e-08,1000,0.0826015997266326,0.49314757681782573,0.4242508234555417,45.423766822613366,0.42425082345554166,0.3278053729737166,43.78692477646942,372.04802439243866,320.5131907109695,1.0611365702795084e-08
uptake,ISO_TRI,15,profile_logpf,0.1,0.08,True,0.055248335431041344,0.008221301081105725,2.8811049633662186e-08,1000,0.06397639015562089,0.4931947309811465,0.44282887886323274,43.17345483305522,0.44282887886323263,0.4194656315819809,43.832174448311925,472.2638655460072,423.5159426108763,8.816442280956682e-07
uptake,ISO_TRI,16,profile_logpf,0.1,0.16,True,0.06023360876120016,0.0089833277735297,6.913164031434656e-08,1000,0.050084575525031635,0.4916830200489779,0.45823240442599045,41.29105771633756,0.45823240442599045,0.5248599514460702,43.87104192584823,583.0023661071348,546.1671489197328,2.624622426339318e-08
uptake,ISO_TRI,17,profile_logpf,0.1,0.32,True,0.06523506924903054,0.009748627081756965,1.5790886904691862e-08,1000,0.04044095777871157,0.4894193952675674,0.47013964695372096,39.84227852676304,0.470139646953721,0.6291366017188422,43.9031928475488,691.9302166124481,667.883711579675,3.822297291993654e-06
uptake,ISO_TRI,18,profile_logpf,0.1,0.64,True,0.0701702228587791,0.010498152139552987,0.0004588441429476202,1000,0.03372442577689016,0.46516939848393635,0.5011061757391734,37.70265212090694,0.5011061757391735,0.7291400291096701,43.92737504054106,749.5179447400627,832.0105263207324,0.00024188847783740072
uptake,ISO_BI,19,hybrid_logpf,0.1,0.02,True,0.017349658986190827,0.0026336078337680572,0.0019244646087593165,3000,0.37106145273285823,0.6289385472671418,0.0,97.47490050900332,0.028938547267141818,0.007660702664602266,1.139821976666382,13.85100542645856,,0.0017508777140937126
uptake,ISO_BI,20,hybrid_logpf,0.1,0.04,True,0.01918657843777271,0.00290470061682487,0.005757526318242359,1000,0.38118480626897944,0.6188151937310206,0.0,98.36223604651411,0.018815193731020585,0.007880802402835738,1.1478618308917063,20.588869615419917,,0.001224626501698023
uptake,ISO_BI,21,hybrid_logpf,0.1,0.08,True,0.028844067508852406,0.004315851816270821,0.00034305452024045084,1000,0.4398953184757349,0.5601046815242653,0.0,96.56680541178864,0.03989531847573477,0.007850352093820064,31.313760458401212,2.247784928676664,,0.00039772494362025346
uptake,ISO_BI,22,hybrid_logpf,0.1,0.16,True,0.04074968401451466,0.006139038354125196,0.00013146947391857027,1000,0.38478509722971477,0.6152149027702853,0.0,98.67672524093159,0.01521490277028531,0.22948888492683278,43.98090407077016,233.74254339028428,,0.00011731268127651573
