value,term,type,level
9.422724352492211e-09,split_metric[C(split)[spatial]:C(metric)[train_mse]],other,split_metric[C(split)[spatial]:C(metric)[train_mse]]
-2.2154257168311743e-07,split_metric[C(split)[sequence_cluster]:C(metric)[val_loss]],other,split_metric[C(split)[sequence_cluster]:C(metric)[val_loss]]
2.215425716831147e-07,split_metric[C(split)[spatial]:C(metric)[val_loss]],other,split_metric[C(split)[spatial]:C(metric)[val_loss]]
-1.2647820179401278e-07,split_metric[C(split)[sequence_cluster]:C(metric)[val_mse]],other,split_metric[C(split)[sequence_cluster]:C(metric)[val_mse]]
1.264782017940089e-07,split_metric[C(split)[spatial]:C(metric)[val_mse]],other,split_metric[C(split)[spatial]:C(metric)[val_mse]]
3.10339193307411e-08,split_metric[C(split)[sequence_cluster]:C(metric)[work_density]],other,split_metric[C(split)[sequence_cluster]:C(metric)[work_density]]
-3.103391933074446e-08,split_metric[C(split)[spatial]:C(metric)[work_density]],other,split_metric[C(split)[spatial]:C(metric)[work_density]]
3.103391933074155e-08,split_metric[C(split)[sequence_cluster]:C(metric)[work_fitting]],other,split_metric[C(split)[sequence_cluster]:C(metric)[work_fitting]]
-3.1033919330744e-08,split_metric[C(split)[spatial]:C(metric)[work_fitting]],other,split_metric[C(split)[spatial]:C(metric)[work_fitting]]
-1.3984040213003752e-07,split_metric[C(split)[sequence_cluster]:C(metric)[work_magnitude]],other,split_metric[C(split)[sequence_cluster]:C(metric)[work_magnitude]]
1.3984040213003466e-07,split_metric[C(split)[spatial]:C(metric)[work_magnitude]],other,split_metric[C(split)[spatial]:C(metric)[work_magnitude]]
-2.2610069358499526e-08,split_metric[C(split)[sequence_cluster]:C(metric)[work_opt]],other,split_metric[C(split)[sequence_cluster]:C(metric)[work_opt]]
2.261006935849669e-08,split_metric[C(split)[spatial]:C(metric)[work_opt]],other,split_metric[C(split)[spatial]:C(metric)[work_opt]]
8.673144154697343e-08,split_metric[C(split)[sequence_cluster]:C(metric)[work_scale]],other,split_metric[C(split)[sequence_cluster]:C(metric)[work_scale]]
-8.673144154697652e-08,split_metric[C(split)[spatial]:C(metric)[work_scale]],other,split_metric[C(split)[spatial]:C(metric)[work_scale]]
-5.917923175103598e-08,split_metric[C(split)[sequence_cluster]:C(metric)[work_shape]],other,split_metric[C(split)[sequence_cluster]:C(metric)[work_shape]]
5.9179231751033715e-08,split_metric[C(split)[spatial]:C(metric)[work_shape]],other,split_metric[C(split)[spatial]:C(metric)[work_shape]]
