index,Primary_cluster,Secondary_cluster,n_Ca,n_CDZ_ligands,n_Ca_final,n_CDZ_ligands_final,dir_prefix
166,0,1,1,2,1,2,liganded_ions/cluster_0_1_ca1_cdz2/complex_rank2_plddt0.5574129_ca1_cdz2_minimised
167,0,1,1,2,1,2,liganded_ions/cluster_0_1_ca1_cdz2/complex_rank3_plddt0.5561186_ca1_cdz2_minimised
168,0,1,1,2,1,2,liganded_ions/cluster_0_1_ca1_cdz2/complex_rank4_plddt0.5544221_ca1_cdz2_minimised
169,0,1,1,2,1,2,liganded_ions/cluster_0_1_ca1_cdz2/complex_rank5_plddt0.5521984_ca1_cdz2_minimised
170,0,1,2,0,2,0,liganded_ions/cluster_0_1_ca2_cdz0/complex_rank1_plddt0.4986350_ca2_cdz0_minimised
171,0,1,2,0,2,0,liganded_ions/cluster_0_1_ca2_cdz0/complex_rank2_plddt0.4979935_ca2_cdz0_minimised
172,0,1,2,0,2,0,liganded_ions/cluster_0_1_ca2_cdz0/complex_rank3_plddt0.4936997_ca2_cdz0_minimised
173,0,1,2,0,2,0,liganded_ions/cluster_0_1_ca2_cdz0/complex_rank4_plddt0.4850220_ca2_cdz0_minimised
174,0,1,2,0,2,0,liganded_ions/cluster_0_1_ca2_cdz0/complex_rank5_plddt0.4848403_ca2_cdz0_minimised
175,0,1,2,1,2,1,liganded_ions/cluster_0_1_ca2_cdz1/complex_rank1_plddt0.6127934_ca2_cdz1_minimised
176,0,1,2,1,2,1,liganded_ions/cluster_0_1_ca2_cdz1/complex_rank2_plddt0.6115780_ca2_cdz1_minimised
177,0,1,2,1,2,1,liganded_ions/cluster_0_1_ca2_cdz1/complex_rank3_plddt0.6102422_ca2_cdz1_minimised
178,0,1,2,1,2,1,liganded_ions/cluster_0_1_ca2_cdz1/complex_rank4_plddt0.6099222_ca2_cdz1_minimised
179,0,1,2,1,2,1,liganded_ions/cluster_0_1_ca2_cdz1/complex_rank5_plddt0.6081380_ca2_cdz1_minimised
180,0,1,2,2,2,2,liganded_ions/cluster_0_1_ca2_cdz2/complex_rank1_plddt0.5501587_ca2_cdz2_minimised
181,0,1,2,2,2,2,liganded_ions/cluster_0_1_ca2_cdz2/complex_rank2_plddt0.5485683_ca2_cdz2_minimised
182,0,1,2,2,2,2,liganded_ions/cluster_0_1_ca2_cdz2/complex_rank3_plddt0.5484598_ca2_cdz2_minimised
183,0,1,2,2,2,2,liganded_ions/cluster_0_1_ca2_cdz2/complex_rank4_plddt0.5474840_ca2_cdz2_minimised
184,0,1,2,2,2,2,liganded_ions/cluster_0_1_ca2_cdz2/complex_rank5_plddt0.5452606_ca2_cdz2_minimised
185,0,1,3,0,3,0,liganded_ions/cluster_0_1_ca3_cdz0/complex_rank1_plddt0.4818294_ca2_cdz0_minimised
186,0,1,3,0,3,0,liganded_ions/cluster_0_1_ca3_cdz0/complex_rank2_plddt0.4790618_ca3_cdz0_minimised
187,0,1,3,0,3,0,liganded_ions/cluster_0_1_ca3_cdz0/complex_rank3_plddt0.4790115_ca3_cdz0_minimised
188,0,1,3,0,3,0,liganded_ions/cluster_0_1_ca3_cdz0/complex_rank4_plddt0.4758130_ca3_cdz0_minimised
189,0,1,3,0,3,0,liganded_ions/cluster_0_1_ca3_cdz0/complex_rank5_plddt0.4548038_ca3_cdz0_minimised
190,0,1,3,1,3,1,liganded_ions/cluster_0_1_ca3_cdz1/complex_rank1_plddt0.6029133_ca3_cdz1_minimised
191,0,1,3,1,3,1,liganded_ions/cluster_0_1_ca3_cdz1/complex_rank2_plddt0.6019742_ca2_cdz1_minimised
