arm,family,start,open,closed,intermediate,recovery,tv,ess_fraction,open_conditional_ess,closed_conditional_ess,intermediate_conditional_ess
24,hybrid_logpf,0,0.06511999685835484,0.4578286383510287,0.4770513647906166,41.50867841692963,0.4770513647906165,0.5412190184878598,43.99244745198527,660.5252904758128,546.1562119943526
24,hybrid_logpf,1,0.06526465532033053,0.4578867409485343,0.4768486037311351,41.52921124388623,0.47684860373113513,0.5411987359061934,43.99235743018688,660.4742803625049,546.3514053603905
25,hybrid_logpf,0,0.13796599517595545,0.5162248985319169,0.3458091062921277,52.75311134030569,0.3458091062921277,0.004214463983797031,43.657207546758634,17.009127562579664,1.3208078953310263
25,hybrid_logpf,1,0.13814889377496145,0.5155150361369523,0.34633607008808637,52.73030034380678,0.3463360700880863,0.004216473410554026,43.66608880970469,17.303605336784262,1.3210854191779033
26,hybrid_logpf,0,0.14982976524632952,0.4990505264905799,0.35111970826309064,52.93495495833367,0.3511197082630906,0.0029297614046593853,43.979097095667086,3.736162979160646,1.4296530456168555
26,hybrid_logpf,1,0.14981141358758387,0.4990885680406105,0.35110001837180566,52.93542800364494,0.3511000183718056,0.002930525785312175,43.979120765694255,3.738718899482738,1.4295668586416999
27,hybrid_logpf,0,0.2195475923632387,0.4655662047899638,0.31488620284679747,57.24359870407545,0.31488620284679747,0.16451392216827138,43.998547819751856,318.37288344920614,103.76160442137677
27,hybrid_logpf,1,0.2196565247674055,0.465601042629689,0.31474243260290546,57.25556506873781,0.31474243260290546,0.16442087815267653,43.99862173167264,318.405533369467,103.62042737069528
28,hybrid_logpf,0,0.16739597190218883,0.4696240598028558,0.36297996829495527,52.812828014751226,0.3629799682949553,0.23604613845464414,43.9994001739953,443.46604605868134,171.14458819483144
28,hybrid_logpf,1,0.1675206810758582,0.46965096936786893,0.36282834955627286,52.8261561966918,0.36282834955627286,0.23591185253300495,43.99944596171865,443.4766115436604,170.9816390867467
29,hybrid_logpf,0,0.16515124970420575,0.46857327510639646,0.36627547518939785,52.53721547832539,0.36627547518939785,0.23044013613560754,43.99906972720314,397.85828501324954,172.30816384577426
