ensemble,loss_function,split_type,split_idx,maxent_value,convergence_value,kl_divergence,train_mse,val_mse,test_mse,d_mse_train,d_mse_val,d_mse_test,work_scale,work_shape,work_density,work_opt,work_fitting,recovery_percent,cluster_0,cluster_1
ISO_TRI,MSE,spatial,0,30.0,0.1,1.6295493871929358,0.07837538592044709,0.08345029781425568,0.08172850733401338,0.0030356355455340017,0.001006164165945081,0.002007058075905732,0.18133433,0.25530577,12.286103,12.106065,12.9040785,38.28219565332669,0.03970863,0.45932811
ISO_TRI,MSE,spatial,0,30.0,0.01,4.208615125620447,0.08170803000236376,0.08527206399850641,0.08428806037714442,0.006368279627450679,0.002827930350195809,0.004566611119036779,0.29557875,0.49929467,24.364153,24.022804,25.454605,41.66448364889621,0.06832865,0.45340332
ISO_TRI,MSE,spatial,0,30.0,0.001,4.350411484920997,0.08229058336653164,0.08488250157509372,0.08438389491964274,0.006950832991618555,0.0024383679267831193,0.004662445661535092,0.28413504,0.52929884,25.199612,24.85683,26.29718,42.38923069903219,0.070147686,0.4631632
ISO_TRI,MSE,spatial,0,30.0,0.0001,4.352652425795959,0.08213285062505155,0.08473450913759177,0.08423207933418934,0.006793100250138462,0.0022903754892811684,0.004510630076081698,0.27545294,0.5151801,24.514585,24.174116,25.580671,41.798511942484154,0.06387403,0.46641862
ISO_TRI,MSE,spatial,0,30.0,1e-05,4.325287379813396,0.0817774233060791,0.08442706401355338,0.08390291322379012,0.006437672931166011,0.0019829303652427743,0.004181463965682475,0.26571235,0.50760835,24.619091,24.282192,25.658123,42.57268741510444,0.07227095,0.46185666
ISO_TRI,MSE,spatial,0,30.0,1e-06,4.309682372863536,0.08183175062985497,0.08445868527040097,0.08394559316964761,0.006492000254941885,0.0020145516220903686,0.004224143911539968,0.26693022,0.5060941,24.60607,24.270254,25.646025,42.81522266227022,0.07157805,0.46807945
ISO_TRI,MSE,spatial,0,30.0,1e-07,4.31316550862828,0.0818328150226697,0.0844588421170722,0.08394619960706363,0.006493064647756619,0.002014708468761603,0.0042247503489559884,0.26690167,0.5062229,24.599424,24.263573,25.63945,42.82203885995699,0.071615644,0.4681246
ISO_BI,MSE,spatial,1,40.0,1.0,0.3363902271442878,0.07935057856143057,0.08275653607257272,0.0812684865360649,0.0012724566797304299,0.0003212129023207888,0.0007872498310740744,0.08584088,0.16172251,7.7946343,7.684478,8.128038,67.77554703317873,0.08508738,0.9149127
ISO_BI,MSE,spatial,1,40.0,0.1,2.039283522820936,0.08252944887735002,0.08327990100196697,0.08310460918503668,0.0044513269956498736,0.0008445778317150432,0.002623372480045849,0.20705235,0.35371977,16.420301,16.178764,17.188128,74.95171260914529,0.14191878,0.8580812
ISO_BI,MSE,spatial,1,40.0,0.01,3.5203547164567226,0.08427844836161512,0.0847416031858565,0.08468224808014346,0.006200326479914975,0.002306280015604567,0.004201011375152636,0.2795133,0.5101651,25.164328,24.80938,26.233522,75.25522869160909,0.14453007,0.85546994
ISO_BI,MSE,spatial,1,40.0,0.001,3.58507777904902,0.08429843396940735,0.08445309891238086,0.08455349490164932,0.006220312087707208,0.002017775742128927,0.00407225819665849,0.28506747,0.5101347,25.92158,25.573181,27.00185,76.89997477911768,0.15895426,0.84104574
ISO_BI,MSE,spatial,1,40.0,0.0001,3.5876718278800723,0.08453315967461446,0.08458284058470569,0.08473108877069832,0.006455037792914314,0.0021475174144537645,0.004249852065707493,0.287144,0.506438,26.212982,25.861143,27.293707,75.89282395033644,0.1500673,0.8499328
ISO_BI,MSE,spatial,1,40.0,1e-05,3.545467858484777,0.08437575924131879,0.08468502074903225,0.08470296994711463,0.006297637359618649,0.002249697578780324,0.0042217332421237985,0.28825247,0.5057131,26.084366,25.73411,27.166584,75.71675530677811,0.14853124,0.8514687
ISO_BI,MSE,spatial,1,40.0,1e-06,3.5474816015239274,0.08437377519914917,0.08468725213457684,0.08470304600241368,0.006295653317449024,0.002251928964324912,0.004221809297422857,0.28827152,0.5058467,26.094137,25.743767,27.176527,75.70381085366076,0.14841855,0.85158145
ISO_BI,MSE,spatial,1,40.0,1e-07,3.5509925813576273,0.08437302087659444,0.0846882246155181,0.08470313692119197,0.006294898994894299,0.0022529014452661728,0.004221900216201141,0.28828576,0.50596267,26.101265,25.750809,27.183802,75.70091245621133,0.1483933,0.85160667
ISO_TRI,mcMSE,spatial,0,4.0,1.0,0.3174498629644709,0.07573063019349667,0.08304770582787262,0.08021526959965257,0.00039087981858358656,0.0006035721795620147,0.0004938203415449233,0.060363114,0.17235446,7.685154,7.5727696,7.9782343,37.192705727387356,0.025354313,0.48177165
ISO_TRI,mcMSE,spatial,0,4.0,0.1,1.6652481114467113,0.07696868422545566,0.08287451359136003,0.08074405371040505,0.0016289338505425799,0.00043037994304942484,0.0010226044522974043,0.13383737,0.2682377,14.178697,13.984539,14.714608,39.31245562147561,0.049760357,0.45263034
ISO_TRI,mcMSE,spatial,0,4.0,0.01,4.020982441865572,0.08008987795707687,0.08422590576534968,0.08296502958819128,0.004750127582163782,0.0017817721170390738,0.003243580330083637,0.21343905,0.4888419,23.787762,23.446358,24.703482,45.016196364838294,0.09546521,0.4586891
ISO_TRI,mcMSE,spatial,0,4.0,0.001,4.2512153344314925,0.08008413979922745,0.08448275204603854,0.08308972369028621,0.004744389424314363,0.00203861839772794,0.0033682744321785613,0.21705697,0.50264,25.527449,25.18801,26.464203,43.48802189782786,0.080615155,0.46087936
ISO_TRI,mcMSE,spatial,0,4.0,0.0001,4.1428996952713,0.0793962290491116,0.08439976550861535,0.08270691510572058,0.004056478674198519,0.0019556318603047435,0.002985465847612931,0.2109795,0.49444127,24.729446,24.396048,25.645847,43.944006609743155,0.08529835,0.45951962
ISO_TRI,mcMSE,spatial,0,4.0,1e-05,4.1635119275088215,0.07939629550178277,0.08441572901353858,0.08271487518740274,0.00405654512686969,0.0019715953652279794,0.002993425929295093,0.2103682,0.49577647,24.796919,24.462463,25.713432,43.93394857007503,0.08525351,0.4594258
ISO_TRI,mcMSE,spatial,0,4.0,1e-06,4.163843971604782,0.07939618706115666,0.0844155251843869,0.08271472012193096,0.0040564366862435725,0.0019713915360762974,0.0029932708638233108,0.21036106,0.49580562,24.79924,24.464767,25.715767,43.93370029793253,0.08527251,0.45938158
ISO_TRI,mcMSE,spatial,0,4.0,1e-07,4.166221709623305,0.0793966034118514,0.08441673685662816,0.08271552855797785,0.004056853036938313,0.001972603208317561,0.0029940792998702087,0.21034679,0.4959131,24.8026,24.468082,25.719208,43.93870071689412,0.085304104,0.45940894
ISO_TRI,mcMSE,spatial,0,4.0,1e-08,4.167425186191559,0.07939691217124294,0.08441737499673062,0.08271599876491838,0.004057161796329853,0.0019732413484200156,0.0029945495068107314,0.2103444,0.49597865,24.803457,24.468912,25.720125,43.943123500714464,0.08534091,0.4594147
ISO_BI,MSE,spatial,0,2.0,1.0,0.3487798898757474,0.07673345066521742,0.08388054417378565,0.0811268125056694,0.0011303283357375349,0.00016972775942193652,0.0006455758006785745,0.08036284,0.17506573,8.596911,8.47552,8.932702,68.86280529845385,0.09306362,0.90693647
ISO_BI,MSE,spatial,0,2.0,0.1,1.7713754458925302,0.07829097774691879,0.08398824897525027,0.08195372559833745,0.0026878554174389058,0.00027743256088655355,0.0014724888933466268,0.1702403,0.43554658,19.46686,19.172256,20.242887,82.35352660976173,0.20989162,0.79010844
ISO_BI,MSE,spatial,0,2.0,0.01,3.4942695078731933,0.08129365593004143,0.0854718620128941,0.08418150719769067,0.0056905336005615426,0.0017610455985303808,0.0037002704926998448,0.27564323,0.69045025,34.289536,33.818043,35.53127,87.181984352267,0.25856325,0.7414367
ISO_BI,MSE,spatial,0,2.0,0.001,3.2420516426765866,0.0801816443799061,0.08512886913526346,0.08345898787568352,0.00457852205042622,0.0014180527208997457,0.002977751170692697,0.25178057,0.61426044,29.648508,29.23516,30.766329,84.94455489472537,0.23562643,0.76437366
ISO_BI,MSE,spatial,0,2.0,0.0001,3.3234867139765303,0.08018315426955712,0.08521218715988743,0.08350111132626527,0.004580031940077237,0.001501370745523714,0.0030198746212744404,0.25349322,0.6153659,29.797754,29.382925,30.920105,84.79909778316272,0.23415755,0.7658425
ISO_BI,MSE,spatial,0,2.0,1e-05,3.3197588334827977,0.08016190665118697,0.08519591596435072,0.08348248040840056,0.004558784321707088,0.001485099549987004,0.003001243703409734,0.25279388,0.6152195,29.829254,29.41452,30.95006,84.83561102878718,0.23452596,0.765474
ISO_BI,MSE,spatial,0,2.0,1e-06,3.3213923708432898,0.08016373076151442,0.08519811796128754,0.08348447967399412,0.004560608432034541,0.001487301546923822,0.0030032429690032975,0.25291282,0.61549,29.821512,29.406668,30.942827,84.84142521466566,0.23458467,0.7654154
ISO_BI,MSE,spatial,0,2.0,1e-07,3.3214213520416846,0.08016430241763718,0.08519952681934775,0.08348546314850279,0.004561180088157299,0.0014887104049840366,0.003004226443511962,0.25297228,0.61550087,29.819357,29.40453,30.940804,84.83718045292594,0.23454182,0.7654581
ISO_BI,MSE,spatial,0,2.0,1e-08,3.3214238960450304,0.08016430391834418,0.08519952153772986,0.08348546127099575,0.004561181588864302,0.0014887051233661436,0.0030042245660049233,0.25297228,0.6155011,29.81937,29.40454,30.940819,84.8371784217927,0.23454182,0.7654583
ISO_TRI,MSE,spatial,1,2.0,1.0,0.3221217120863751,0.07891512596848028,0.08270095618949558,0.08101833548680674,0.0014699580391163702,0.001147206989699695,0.0012968862286990984,0.08640462,0.21601336,9.739251,9.593726,10.128075,36.46485060757787,0.014795749,0.50627613
ISO_TRI,MSE,spatial,1,2.0,0.1,1.619781933762726,0.0811703222238955,0.08263600437777932,0.0821029033454068,0.003725154294531588,0.0010822551779834377,0.002381454087299159,0.18043521,0.3038854,14.443705,14.236143,15.108461,40.99051154466717,0.027983539,0.5556684
ISO_TRI,MSE,spatial,1,2.0,0.01,4.31333056436584,0.08479803778515997,0.08608058921857978,0.08560329131493356,0.007352869855796057,0.004526840018783895,0.005881842056825917,0.33254302,0.5606019,27.418919,27.035362,28.644606,43.991546178460275,0.02119689,0.65301824
ISO_TRI,MSE,spatial,1,2.0,0.001,4.455498030541254,0.08499391784754641,0.08621485597045535,0.08576527520012031,0.007548749918182496,0.004661106770659465,0.006043825942012665,0.32412022,0.55951625,26.50432,26.121927,27.712076,42.15248819804691,0.01905743,0.6191184
ISO_TRI,MSE,spatial,1,2.0,0.0001,4.338332943538384,0.08450124748149292,0.08616971227861482,0.08549687710982572,0.007056079552129002,0.004615963078818938,0.005775427851718071,0.3164467,0.55653787,26.709146,26.327068,27.898577,43.36296175678426,0.019805266,0.64444923
ISO_TRI,MSE,spatial,1,2.0,1e-05,4.3539612195375454,0.0845009765992396,0.08618390846514495,0.08550366520464864,0.0070558086698756795,0.004630159265349071,0.005782215946540992,0.31657037,0.55699635,26.714247,26.331787,27.904383,43.334974583932926,0.019752748,0.6440251
ISO_TRI,MSE,spatial,1,2.0,1e-06,4.3586379257611485,0.08450116221615717,0.08618679860075111,0.08550515944484527,0.007055994286793252,0.0046330494009552275,0.005783710186737623,0.31660366,0.5571301,26.717587,26.335037,27.907925,43.3275445011274,0.01973705,0.64392066
ISO_TRI,MSE,spatial,1,2.0,1e-07,4.3607945647064845,0.08450156372204468,0.08618885089663189,0.08550636296550858,0.007056395792680761,0.004635101696836008,0.005784913707400932,0.31662744,0.55720544,26.719328,26.336731,27.909786,43.32290675439335,0.01972303,0.6438751
ISO_TRI,MSE,spatial,0,40.0,1.0,0.32027428820157233,0.07651141870725725,0.08341140884245059,0.08078359587228649,0.0011716683323441668,0.0009672751941399854,0.0010621466141788466,0.08536753,0.18547325,7.9286046,7.809588,8.284813,36.3846126585349,0.02079571,0.48066598
ISO_TRI,MSE,spatial,0,40.0,0.1,1.6294286651161909,0.07837514707158316,0.08345045553236652,0.08172846704648186,0.0030353966966700785,0.0010063218840559163,0.002007017788374213,0.1813296,0.25528508,12.284664,12.10464,12.902609,38.281378546304154,0.039703753,0.4593254
ISO_TRI,MSE,spatial,0,40.0,0.01,4.208492735032958,0.08171370591833914,0.08527566715968599,0.08429266813806041,0.006373955543426055,0.0028315335113753837,0.004571218879952765,0.29569528,0.4993765,24.395111,24.053755,25.485878,41.69731062279285,0.06846163,0.45372957
ISO_TRI,MSE,spatial,0,40.0,0.001,4.349971036425275,0.08228994687309549,0.08487413929748788,0.08437942635183081,0.006950196498182404,0.0024300056491772803,0.004657977093723162,0.28392333,0.529235,25.197536,24.854284,26.294617,42.36953972117312,0.07005723,0.4629919
ISO_TRI,MSE,spatial,0,40.0,0.0001,4.353523134211383,0.08213892172972193,0.08474073360785056,0.08423818501352058,0.006799171354808842,0.0022965999595399578,0.0045167357554129345,0.27581686,0.5152335,24.499048,24.158623,25.565916,41.787431314891485,0.06382092,0.46632975
ISO_TRI,MSE,spatial,0,40.0,1e-05,4.325704333052833,0.08178180342607622,0.08442661543779491,0.08390486553171685,0.006442053051163132,0.0019824817894843055,0.0041834162736092,0.2658741,0.5073819,24.60003,24.263193,25.639162,42.573318673985824,0.07235082,0.4616887
ISO_TRI,MSE,spatial,0,40.0,1e-06,4.312859328294211,0.0818328453015963,0.0844586582241262,0.08394612332612934,0.006493094926683221,0.0020145245758155933,0.004224674068021697,0.26695877,0.50618625,24.609669,24.273798,25.64977,42.81795975917545,0.07159409,0.46809545
ISO_TRI,MSE,spatial,0,40.0,1e-07,4.315839373476802,0.08183385874220633,0.08445889219924362,0.0839467427620214,0.00649410836729325,0.002014758550933013,0.004225293503913749,0.26692072,0.5063111,24.601267,24.265371,25.64142,42.825249583169665,0.071631454,0.46815014
ISO_TRI,Sigma_MSE,spatial,0,50.0,1.0,0.31616593823091144,0.0756650222245605,0.08304656271935469,0.08018212266050583,0.00032527184964740996,0.0006024290710440888,0.000460673402398179,0.051947434,0.1169183,5.9566936,5.881697,6.1775074,33.11350132437683,0.033517983,0.373415
ISO_TRI,Sigma_MSE,spatial,0,50.0,0.1,0.6469812522399521,0.07584686384199252,0.08327760389377153,0.08038715007426642,0.0005071134670794342,0.0008334702454609322,0.0006657008161587707,0.07942803,0.1713779,8.574614,8.461643,8.904848,35.02991703315724,0.05411141,0.36016423
ISO_TRI,Sigma_MSE,spatial,0,50.0,0.01,2.9688854699476206,0.07667232394247282,0.08459581801373377,0.08145164583441773,0.0013325735675597389,0.002151684365423165,0.0017301965763100863,0.16499536,0.39990127,19.727625,19.45158,20.457516,43.175070987377616,0.15380302,0.33641446
ISO_TRI,Sigma_MSE,spatial,0,50.0,0.001,3.872463581479553,0.07646603170544831,0.08550493961708777,0.08180065356769779,0.001126281330535231,0.0030608059687771694,0.0020792043095901463,0.12112822,0.6131573,32.925457,32.511536,33.780872,48.71881920608513,0.22681142,0.33644432
ISO_TRI,Sigma_MSE,spatial,0,50.0,0.0001,3.678074917375317,0.0765187860200889,0.08579025186101101,0.08196852908479275,0.0011790356451758105,0.003346118212700408,0.0022470798266851083,0.13455573,0.57189506,29.829716,29.441666,30.670721,48.003955448196166,0.20574757,0.34812486
ISO_TRI,Sigma_MSE,spatial,0,50.0,1e-05,3.6569265306048404,0.07653340010338187,0.08571277073210426,0.0819373108600873,0.0011936497284687902,0.0032686370837936574,0.00221586160197966,0.1324863,0.5724281,29.724506,29.33821,30.561907,48.30721050018864,0.20644216,0.35173953
ISO_TRI,Sigma_MSE,spatial,0,50.0,1e-06,3.648605043330959,0.07652392523420669,0.08569469870314299,0.08192363174971139,0.0011841748592936047,0.0032505650548323856,0.002202182491603741,0.13393015,0.5690919,29.554136,29.169727,30.391088,48.0023384055429,0.20445347,0.34950066
ISO_TRI,Sigma_MSE,spatial,0,50.0,1e-07,3.6525946691640843,0.0764989115327774,0.08572343314689498,0.08192547937860443,0.0011591611578643107,0.0032792994985843815,0.002204030120496789,0.13395868,0.5701063,29.583055,29.1979,30.421078,48.09149862181887,0.20575045,0.34938163
ISO_TRI,Sigma_MSE,spatial,0,50.0,1e-08,3.652601054297504,0.07649890305499933,0.08572350985429729,0.08192551325975346,0.0011591526800862478,0.0032793762059866866,0.002204064001645814,0.13396107,0.5701093,29.583225,29.198069,30.421255,48.09164255189725,0.20575225,0.34938186
ISO_TRI,Sigma_MSE,spatial,1,3.0,1.0,0.3060728044660723,0.0782082387166071,0.08256133596547949,0.08059678956228092,0.0007630707872431919,0.0010075867656836046,0.0008753403041732721,0.062078126,0.17670433,7.5168257,7.4016404,7.817686,36.37132950075394,0.023572229,0.47035453
ISO_TRI,Sigma_MSE,spatial,1,3.0,0.1,0.016654068360355802,0.07754081070167607,0.08163389789048947,0.07980787705508172,9.564277231215168e-05,8.014869069358777e-05,8.64277969740701e-05,0.007878103,0.01904778,0.8865052,0.8741425,0.92130923,31.304357678160134,0.019051243,0.3802265
ISO_TRI,Sigma_MSE,spatial,1,3.0,0.01,0.024360171703129176,0.0774189289717426,0.08145636165828797,0.07965997338142712,-2.6238957621313452e-05,-9.738754150791229e-05,-6.147587668052512e-05,0.0022002554,0.029335111,1.4894398,1.4698536,1.5231754,31.04028847697894,0.023883434,0.3600577
ISO_TRI,Sigma_MSE,spatial,1,3.0,0.001,0.02480021237102639,0.07763487652976825,0.08172943314306977,0.07990135589483544,0.00018970860040433413,0.00017568394327388548,0.00017990663672778906,0.016679125,0.04593778,2.0165827,1.9862007,2.0958786,32.530156252045295,0.021392561,0.39740315
ISO_TRI,Sigma_MSE,spatial,1,3.0,0.0001,0.025720578384558206,0.07766848234821057,0.08178686103533477,0.07994650698650324,0.00022331441884665404,0.00023311183553888226,0.00022505772839559457,0.02073473,0.052847274,2.2734232,2.23867,2.3677397,32.843417879443805,0.021847116,0.40230894
ISO_TRI,Sigma_MSE,spatial,1,3.0,1e-05,0.020996467683889384,0.07764591990137387,0.08177753903178243,0.07993081851465882,0.00020075197200995765,0.0002237898319865511,0.0002093692565511701,0.019317053,0.049242437,2.0983753,2.0663,2.1862516,32.786344304841755,0.02220072,0.40000474
ISO_TRI,Sigma_MSE,spatial,1,3.0,1e-06,0.020539125621715067,0.07763822943727505,0.08177727350382787,0.07992693309438115,0.00019306150791113807,0.00022352430403198287,0.0002054838362735012,0.019050645,0.047662143,2.0191686,1.9882951,2.1049318,32.7264621760532,0.022075545,0.3991896
ISO_TRI,Sigma_MSE,spatial,1,3.0,1e-07,0.020368777629332663,0.07763851262730195,0.08177611499731371,0.0799265078353547,0.00019334469793803877,0.0002223657975178317,0.0002050585772470498,0.018969769,0.04727067,2.0029585,1.9723057,2.0881686,32.71656798873307,0.022119904,0.3988459
ISO_TRI,Sigma_MSE,spatial,1,3.0,1e-08,0.020369110611786895,0.07763848694728302,0.08177613022675119,0.07992650264824175,0.000193319017919108,0.0002223810269553067,0.0002050533901341023,0.01896739,0.047271278,2.0029793,1.9723262,2.0881853,32.716598435195074,0.022119936,0.39884645
ISO_BI,MSE,spatial,2,40.0,1.0,0.3587502584387567,0.0789533131475527,0.08175662622185657,0.08117490039783438,0.001857344287769458,-0.000491777907673005,0.0006936636928435574,0.0951438,0.2002661,11.212535,11.07055,11.603087,69.1660157602481,0.09533008,0.9046698
