ensemble,target_mode,split_type,split_index,baseline_recovery_pct_conditional,candidate_recovery_pct_conditional,recovery_gain_pp_conditional,baseline_open_ess_conditional,candidate_open_ess_conditional,candidate_open_ess_fraction_conditional,uniform_variance_jsd_gradient_cosine_conditional,uniform_variance_step_jsd_change_conditional,baseline_variance_jsd_gradient_cosine_conditional,baseline_variance_step_jsd_change_conditional,mean_preserved_conditional,variance_profile,baseline_recovery_pct_marginal,candidate_recovery_pct_marginal,recovery_gain_pp_marginal,baseline_open_ess_marginal,candidate_open_ess_marginal,candidate_open_ess_fraction_marginal,uniform_variance_jsd_gradient_cosine_marginal,uniform_variance_step_jsd_change_marginal,baseline_variance_jsd_gradient_cosine_marginal,baseline_variance_step_jsd_change_marginal,mean_preserved_marginal,recovery_winner,conditional_minus_marginal_recovery_pp,conditional_minus_marginal_open_ess
BI,average_first,spatial,1,85.93514251708984,89.04012298583984,3.10498046875,12.937222480773926,12.97104549407959,0.9977727303138146,-0.0935172513127327,1.3709068298339844e-05,0.9795197248458862,-0.000141441822052,True,marginal,85.93514251708984,89.09262084960938,3.1574783325195312,12.937222480773926,12.90485668182373,0.99268128321721,0.963796615600586,-0.0001405477523803,0.9597116708755492,-0.0001386404037475,True,marginal,-0.05249786376953125,0.06618881225585938
BI,average_first,spatial,2,86.88526153564453,89.74893951416016,2.863677978515625,12.723709106445312,12.876378059387209,0.990490619952862,-0.3661565482616424,5.322694778442383e-05,0.9817561507225036,-0.000135064125061,True,marginal,86.88526153564453,90.6080093383789,3.722747802734375,12.723709106445312,12.752253532409668,0.9809425794161284,0.9567821025848388,-0.0001395344734191,0.9692118763923644,-0.0001333951950073,True,marginal,-0.85906982421875,0.12412452697754084
TRI,average_after,sequence_cluster,0,35.60919189453125,49.81254959106445,14.203357696533203,12.417229652404783,12.370786666870115,0.9515989743746244,0.2921718955039978,-4.118680953979492e-05,0.5589607357978821,-0.0001181960105895,True,marginal,35.60919189453125,46.594120025634766,10.984928131103516,12.417229652404783,12.460142135620115,0.9584724719707782,0.4431035220623016,-6.264448165893555e-05,0.6618288159370422,-0.0001399517059326,True,conditional,3.2184295654296875,-0.08935546875
TRI,average_after,sequence_cluster,1,35.19632339477539,47.42019271850586,12.223869323730469,12.320570945739746,11.580981254577637,0.8908447118905874,0.2619501054286957,-3.68952751159668e-05,0.5163190960884094,-0.0001059770584106,True,marginal,35.19632339477539,47.177635192871094,11.981311798095703,12.320570945739746,12.550333023071287,0.9654102325439452,0.4205494225025177,-5.942583084106445e-05,0.6431970596313477,-0.0001319646835327,True,conditional,0.24255752563476562,-0.9693517684936506
TRI,average_after,sequence_cluster,2,36.507843017578125,50.7919921875,14.284149169921877,11.829560279846191,11.625155448913574,0.8942427268395057,0.2499435096979141,-3.528594970703125e-05,0.5929830074310303,-0.0001315474510192,True,marginal,36.507843017578125,47.525901794433594,11.018058776855469,11.829560279846191,12.293536186218262,0.945656629709097,0.4667430818080902,-6.598234176635742e-05,0.6886177659034729,-0.0001527667045593,True,conditional,3.2660903930664062,-0.6683807373046875
TRI,average_after,spatial,0,35.01930236816406,45.46549224853515,10.446189880371094,12.29014778137207,10.806857109069824,0.8312967006976788,0.2055187225341797,-2.902746200561523e-05,0.4167475402355194,-7.832050323486328e-05,True,marginal,35.01930236816406,44.08293914794922,9.063636779785156,12.29014778137207,12.497651100158691,0.961357776935284,0.4297071695327759,-6.073713302612305e-05,0.5910636186599731,-0.0001111030578613,True,conditional,1.3825531005859304,-1.6907939910888672
TRI,average_after,spatial,1,35.02512741088867,47.97084426879883,12.945716857910156,12.393680572509766,11.310811042785645,0.8700623879065881,0.2348308563232422,-3.3020973205566406e-05,0.4600149691104889,-8.720159530639648e-05,True,marginal,35.02512741088867,44.71578598022461,9.690658569335938,12.393680572509766,12.559126853942873,0.9660866810725286,0.4248092472553253,-5.990266799926758e-05,0.5957152247428894,-0.0001128315925598,True,conditional,3.2550582885742188,-1.2483158111572283
TRI,average_after,spatial,2,35.40737533569336,49.4301872253418,14.022811889648438,12.240554809570312,11.681806564331056,0.8986005049485427,0.2587401568889618,-3.647804260253906e-05,0.5195474028587341,-0.000112771987915,True,marginal,35.40737533569336,47.72608947753906,12.318714141845703,12.240554809570312,11.923023223876951,0.9171556326059196,0.4384564161300659,-6.192922592163086e-05,0.6558756828308105,-0.0001425743103027,True,conditional,1.7040977478027344,-0.24121665954589488
TRI,average_first,sequence_cluster,0,41.45962142944336,55.16655349731445,13.706932067871094,12.17745590209961,12.742679595947266,0.9802061227651744,0.3066622018814087,-4.3392181396484375e-05,0.6924265623092651,-0.0001810193061828,True,marginal,41.45962142944336,49.829345703125,8.36972427368164,12.17745590209961,12.59376049041748,0.9687508069551908,0.4431035220623016,-6.264448165893555e-05,0.785842776298523,-0.0002053380012512,True,conditional,5.337207794189453,0.14891910552978516
TRI,average_first,sequence_cluster,1,40.763397216796875,55.6915397644043,14.928142547607422,11.964778900146484,12.740371704101562,0.9800285926231972,0.277418702840805,-3.933906555175781e-05,0.7888727784156799,-0.0002017617225646,True,marginal,40.763397216796875,50.70437240600586,9.940975189208984,11.964778900146484,12.669821739196776,0.974601672245906,0.4205494225025177,-5.942583084106445e-05,0.7920965552330017,-0.0002025365829467,True,conditional,4.9871673583984375,0.07054996490478693
TRI,average_first,sequence_cluster,2,41.476959228515625,54.87290573120117,13.395946502685549,11.531336784362791,12.774877548217772,0.982682888324444,0.2499435096979141,-3.528594970703125e-05,0.7818316221237183,-0.0002057552337646,True,marginal,41.476959228515625,49.96865463256836,8.491695404052734,11.531336784362791,12.315858840942385,0.947373756995568,0.4667430818080902,-6.598234176635742e-05,0.7697945237159729,-0.0002024173736572,True,conditional,4.9042510986328125,0.4590187072753871
TRI,average_first,spatial,0,40.23013687133789,54.82381057739258,14.593673706054688,12.36021900177002,12.838213920593262,0.9875549169687124,0.2587199807167053,-3.647804260253906e-05,0.7228875756263733,-0.0001737475395202,True,marginal,40.23013687133789,48.25069808959961,8.020561218261719,12.36021900177002,12.658025741577148,0.9736942878136268,0.4297071695327759,-6.073713302612305e-05,0.7748506665229797,-0.0001861453056335,True,conditional,6.573112487792969,0.18018817901611328
TRI,average_first,spatial,1,40.21604537963867,54.01453399658203,13.79848861694336,12.3239107131958,12.802079200744627,0.9847753231342022,0.2541092038154602,-3.5881996154785156e-05,0.7300379872322083,-0.0001792907714843,True,marginal,40.21604537963867,48.45693588256836,8.240890502929688,12.3239107131958,12.65110683441162,0.9731620641855092,0.4248092472553253,-5.990266799926758e-05,0.7696095705032349,-0.0001891255378723,True,conditional,5.557598114013672,0.1509723663330078
TRI,average_first,spatial,2,41.257904052734375,54.58538436889648,13.32748031616211,11.95792007446289,12.746232986450195,0.9804794604961689,0.2797037959098816,-3.927946090698242e-05,0.6917204260826111,-0.0001817345619201,True,marginal,41.257904052734375,50.97465515136719,9.716751098632812,11.95792007446289,12.287070274353027,0.9451592518733098,0.4384564161300659,-6.192922592163086e-05,0.7763189673423767,-0.0002041459083557,True,conditional,3.6107292175292898,0.45916271209716797
