arm,stage,family,start,open,closed,intermediate,recovery,tv,ess_fraction,open_conditional_ess,closed_conditional_ess,intermediate_conditional_ess
29,uptake,hierarchical_rmsd,0,0.29242739794192824,0.4647394002451044,0.2428332018129674,63.437325978435766,0.24283320181296736,0.003235564778204107,1.2347427578140466,14.563785076368111,1.0756815500439325
29,uptake,hierarchical_rmsd,1,0.2912647243500729,0.46664492500737503,0.24209035064255194,63.49398757432564,0.24209035064255202,0.0032359974236237906,1.2199080400808942,14.370421210358863,1.0814900831862466
30,uptake,hierarchical_rmsd,0,0.19139004435280518,0.5520551144677792,0.2565548411794155,60.488273065674434,0.25655484117941557,0.004981310880181383,41.979714283814786,9.230943205135317,1.1683384180492156
30,uptake,hierarchical_rmsd,1,0.18506471081056552,0.5541474026018499,0.2607878865875844,59.9739913976079,0.26078788658758445,0.004884887479392605,41.897824723563524,9.41687542985361,1.1610030867442203
31,uptake,hierarchical_w1,0,0.3181843341889828,0.4624864985207907,0.21932916729022672,65.43545291371566,0.2193291672902266,0.004039290743393899,2.3789633620946313,9.712459024643719,1.0303760871346974
31,uptake,hierarchical_w1,1,0.31816146565827025,0.46249438179497093,0.21934415254675876,65.43419442289327,0.2193441525467588,0.0040393878787511345,2.378935274757747,9.714733584889279,1.0303547956152987
32,uptake,hierarchical_w1,0,0.3299349271736969,0.4504320272851541,0.2196330455411491,65.36573719533487,0.21963304554114907,0.0037261488841032267,2.1628062754756954,8.358438788149156,1.0483842023886247
32,uptake,hierarchical_w1,1,0.3294012793713423,0.45069498710807876,0.2199037335205791,65.34477353819443,0.21990373352057901,0.003727912914373672,2.1645870799650173,8.357072584017386,1.048359817636128
33,uptake,hierarchical_w1,0,0.3378378434935081,0.4588998746116967,0.2032622818947951,66.78497278097129,0.20326228189479517,0.0037795137129636863,2.231920060346448,7.3017249827740764,1.0611153990145679
33,uptake,hierarchical_w1,1,0.33781074561125857,0.458896510077766,0.20329274431097538,66.78236878125242,0.2032927443109754,0.0037791468734115546,2.2312531790566115,7.303410712357786,1.0611188636700775
34,uptake,hierarchical_w1,0,0.34003537439264825,0.44699384599736647,0.2129707796099853,65.89231124720222,0.21297077960998528,0.003656110581541601,2.4766533162510713,5.818780455299232,1.0823749388501926
34,uptake,hierarchical_w1,1,0.33985912811732727,0.44730702582585097,0.2128338460568218,65.90599881321441,0.21283384605682176,0.003665706839205878,2.482245575652795,5.848182855259845,1.082109631358162
35,uptake,hierarchical_w1,0,0.30078588673066986,0.4566693122097449,0.2425448010595856,63.47748030809359,0.24254480105958542,0.00264819051287859,1.1160801765627049,5.6666105012093455,1.1345791651986354
35,uptake,hierarchical_w1,1,0.3343844272007285,0.4498820594401516,0.2157335133591199,65.6849282196238,0.21573351335911992,0.003368674183441876,1.9787047543776517,6.559560662290319,1.0105734286997157
36,uptake,hierarchical_w1,0,0.3040170181876984,0.450302673499086,0.24568030831321558,63.217360173334434,0.2456803083132156,0.0025526151224926426,1.0339666272328933,6.193458334576158,1.1190021452203758
36,uptake,hierarchical_w1,1,0.30334383626436723,0.45274847114974054,0.24390769258589234,63.36492439351367,0.2439076925858923,0.002575258545474059,1.0318272612946833,6.4519437253851235,1.110486610507618
37,uptake,hierarchical_logpf_profile,0,0.3692881214752122,0.38004091262321466,0.250670965901573,62.08748214963571,0.25067096590157306,0.004043476338794921,4.1147017607255565,9.19413218989595,1.0086130330728507
37,uptake,hierarchical_logpf_profile,1,0.36876655581235096,0.3811982142084984,0.2500352299791507,62.15530518473595,0.2500352299791506,0.004065322519969685,4.121831503424862,9.340995651424501,1.0082602698516039
38,uptake,hierarchical_logpf_profile,0,0.3518494208161651,0.38945930659250627,0.2586912725913286,61.69323259091026,0.2586912725913286,0.00382398377343715,2.156186202744946,6.3317762393443004,1.8506448161918063
38,uptake,hierarchical_logpf_profile,1,0.35742848169669045,0.3907624238747027,0.25180909442860683,62.20763392355438,0.25180909442860683,0.003975417474622771,2.497497597730108,6.271087626358746,1.6885337018078002
39,uptake,hierarchical_logpf_profile,0,0.35450887367595113,0.406166052710468,0.23932507361358088,63.36600022328862,0.23932507361358085,0.004130689118725659,3.336701650957017,8.90864272249116,1.0884579811326849
39,uptake,hierarchical_logpf_profile,1,0.3543855745947913,0.4067603807786374,0.23885404462657117,63.409910763975866,0.23885404462657123,0.004143725438943085,3.3293014007925654,9.01508240225333,1.0890354180932529
40,uptake,hierarchical_logpf_profile,0,0.2081770349121312,0.5599000658993776,0.2319228991884914,62.76290286420125,0.23192289918849132,0.0038193224940096093,1.0202947838452066,14.054054598456535,1.0169190891608235
40,uptake,hierarchical_logpf_profile,1,0.22180522970155217,0.5451985706039445,0.23299619969450358,63.10509603844301,0.23299619969450347,0.0038154535446852005,1.1786030760710438,12.834827615716305,1.026360699467694
41,uptake,hierarchical_logpf_profile,0,0.18025255613466729,0.5295512954658403,0.2901961483994924,57.87383081847325,0.29019614839949237,0.003493695972176467,1.001248306075992,11.196376232927284,1.183673693888207
41,uptake,hierarchical_logpf_profile,1,0.1803950859107046,0.5294327835875753,0.2901721305017201,57.88040745495835,0.2901721305017201,0.0034929271883070803,1.0011545390006618,11.145295899117993,1.1856374922961608
42,uptake,hierarchical_logpf_profile,0,0.28500844215181625,0.4954205924890919,0.2195709653590917,65.30312185909392,0.21957096535909176,0.00287258929163316,1.0006073399453888,8.926355223511289,1.0090135675505418
42,uptake,hierarchical_logpf_profile,1,0.2881413946938639,0.49867081594602514,0.21318778936011093,65.85961149749244,0.21318778936011096,0.002870592022108353,1.00094147006518,8.699287778653565,1.0092246583508289
