stage,ensemble,arm,family,strength,quantile,converged,objective,mse,objective_gap,steps,open,closed,intermediate,recovery,tv,ess_fraction,open_conditional_ess,closed_conditional_ess,intermediate_conditional_ess,initial_population_tv,target_mode,distance,sigma
rate,ISO_TRI,25,hierarchical_rmsd,0.1,0.02,False,7.656036797061546e-07,1.0258848754911666e-07,0.011019505694238705,10000,0.2997104402042472,0.5241846659024316,0.17610489389332115,69.16164999632251,0.17610489389332118,0.055621668537829495,21.83069751977671,87.11510716631614,38.217108026386676,0.0004877066042417305,rate,rmsd,0.0040816326530546
rate,ISO_TRI,26,hierarchical_rmsd,0.1,0.04,False,3.629321286353198e-06,6.101947494597537e-07,1.5729536031568903,10000,0.3111153814341829,0.5127561965180664,0.1761284220477508,69.25078791778542,0.17612842204775078,0.06648266804706497,28.494632757176756,103.76433982455109,37.395443572473006,0.0010275589756873205,rate,rmsd,0.007993197278914
rate,ISO_TRI,27,hierarchical_rmsd,0.1,0.08,False,1.790000959044541e-05,3.217669733005221e-06,0.8050473785258311,10000,0.28619883978083316,0.47169819287161735,0.24210296734754946,63.470100989631064,0.2421029673475495,0.06431126632147804,22.664919701552236,107.85510612065474,44.689060011096,0.009184975027468498,rate,rmsd,0.0159863945578315
rate,ISO_TRI,28,hierarchical_rmsd,0.1,0.16,False,0.00011888261075196546,1.293355480699298e-05,0.056787373845193556,10000,0.26526014416298366,0.48482033990689494,0.2499195159301215,62.678433223694775,0.24991951593012146,0.08218173601237623,31.047124627972558,114.96057817407176,53.94296095895548,0.011515919638861047,rate,rmsd,0.0321428571428636
rate,ISO_TRI,29,hierarchical_rmsd,0.1,0.32,False,0.00016484454097051915,2.6920108295556967e-05,0.08991482168407684,10000,0.24054086982082973,0.46744512322943604,0.2920140069497343,59.20436065339306,0.29201400694973423,0.12504105289248305,43.84859155429137,175.54886140406785,82.78123781605716,0.00855705378240569,rate,rmsd,0.0656462585034152
rate,ISO_TRI,30,hierarchical_rmsd,0.1,0.64,False,0.0008921929900351265,0.00014747266757144864,0.008365920417612067,10000,0.1819308292588635,0.4410851323688102,0.3769840383723263,52.30507962785925,0.3769840383723263,0.15988995538328554,43.98097488144533,243.62871889508978,112.81144049973454,0.007333119362335522,rate,rmsd,0.1454081632653086
rate,ISO_TRI,31,hierarchical_w1,0.1,0.02,False,5.63547231261555e-08,9.691905580361734e-09,0.012617232488694547,10000,0.3062090938517464,0.4939309731799978,0.1998599329682559,67.11365980488641,0.19985993296825588,0.060629476939040375,24.506945703930878,94.22342808967764,40.04006250077606,0.00010798668419551016,rate,w1,0.0040816326530546
rate,ISO_TRI,32,hierarchical_w1,0.1,0.04,False,1.686226424647053e-07,2.826166958917075e-08,1.1805463492771557,10000,0.3142134104576487,0.5110733648313197,0.17471322471103157,69.39741345913157,0.17471322471103157,0.0590384783465052,23.350922406231934,100.91601331274745,38.33417236228306,0.0010630933920060676,rate,w1,0.007993197278914
rate,ISO_TRI,33,hierarchical_w1,0.1,0.08,False,1.297623138596057e-05,2.072868079242658e-06,0.1204013096614686,10000,0.28913209368454934,0.4832715624636183,0.2275963438518325,64.6722790813288,0.22759634385183242,0.0669350032995692,24.80747031878775,107.4737667059022,44.213175284326,0.0008609478121814063,rate,w1,0.0159863945578315
rate,ISO_TRI,34,hierarchical_w1,0.1,0.16,False,6.853972907781514e-05,1.154437884719717e-05,2.11743196801155,10000,0.24836150119139982,0.45749199319947254,0.29414650560912764,59.14274908100295,0.29414650560912764,0.08984884150133074,38.130351188141894,104.93011352427226,62.25470339704372,0.007484231279045947,rate,w1,0.0321428571428636
rate,ISO_TRI,35,hierarchical_w1,0.1,0.32,False,0.000540855414770446,8.900066981085849e-05,0.09611547531168137,10000,0.1649005681933909,0.4614063544718008,0.3736930773348083,52.06478708896789,0.3736930773348083,0.10008799996063514,43.60394610403245,108.1711304413173,73.54951151723618,0.0039009136951751594,rate,w1,0.0656462585034152
rate,ISO_TRI,36,hierarchical_w1,0.1,0.64,False,0.0009400880234384151,0.00015606367488123788,0.20812966212461156,10000,0.1457512064916584,0.46299676195522654,0.391252031553115,50.35822976890842,0.39125203155311505,0.1103161505359359,43.89771466042914,113.57215741034074,89.90448386708566,0.02105667249228932,rate,w1,0.1454081632653086
rate,ISO_TRI,37,hierarchical_logpf_profile,0.1,0.02,False,1.6091873101454679e-06,2.87649155270097e-07,4.148197860301568,10000,0.3203359155021825,0.5101305148843541,0.1695335696134634,69.90385166720785,0.1695335696134634,0.061729216293005915,26.718405478173803,98.09524577614124,36.50540005581677,0.003727111905897043,rate,logpf_profile,0.0040816326530546
rate,ISO_TRI,38,hierarchical_logpf_profile,0.1,0.04,False,6.405145551607732e-06,1.077364386811047e-06,0.03249617844439781,10000,0.31154010618056543,0.4900191381234096,0.19844075569602498,67.25762240154775,0.19844075569602498,0.06503315123427446,28.54251364749428,93.1126933448108,42.26694786185139,0.007561473564852747,rate,logpf_profile,0.007993197278914
rate,ISO_TRI,39,hierarchical_logpf_profile,0.1,0.08,False,3.472473543059474e-05,4.906708179926636e-06,0.20261617586369987,10000,0.295462685676634,0.48145632213954204,0.22308099218382393,65.08216705921551,0.22308099218382396,0.06762682500701234,27.939147538780396,88.43145052391311,55.292627211623085,0.0039074351597593315,rate,logpf_profile,0.0159863945578315
rate,ISO_TRI,40,hierarchical_logpf_profile,0.1,0.16,False,0.00011464828940311556,1.7076898913369007e-05,0.5363260446377823,10000,0.24076676650666284,0.47203224347022893,0.2872009900231084,59.55922221992521,0.2872009900231083,0.1089864490274412,43.17489160301357,129.26875617014434,77.99949154987085,0.002176703544622363,rate,logpf_profile,0.0321428571428636
rate,ISO_TRI,41,hierarchical_logpf_profile,0.1,0.32,False,0.0005162378960878365,5.6470173013009165e-05,0.09577538349393473,10000,0.18588607370822943,0.4650383132840691,0.3490756130077015,54.21688065489945,0.3490756130077015,0.12343814922960793,43.7270834232258,139.52689843402166,93.67377189925897,0.02892313474723124,rate,logpf_profile,0.0656462585034152
rate,ISO_TRI,42,hierarchical_logpf_profile,0.1,0.64,False,0.0014302769626219156,0.0002157987305488922,0.03742824260857781,10000,0.1364794952953386,0.4383133688546311,0.42520713585003034,47.99093521082517,0.42520713585003034,0.1602515935078402,43.90954748564886,210.15042461126407,123.31457476305314,0.002420980372609391,rate,logpf_profile,0.1454081632653086
