arm,family,strength,start,open,closed,intermediate,recovery,tv,ess_fraction,open_conditional_ess,closed_conditional_ess,intermediate_conditional_ess
30,hierarchical_rmsd,0.1,0,0.19139004435280518,0.5520551144677792,0.2565548411794155,60.488273065674434,0.25655484117941557,0.004981310880181383,41.979714283814786,9.230943205135317,1.1683384180492156
30,hierarchical_rmsd,0.1,1,0.18506471081056552,0.5541474026018499,0.2607878865875844,59.9739913976079,0.26078788658758445,0.004884887479392605,41.897824723563524,9.41687542985361,1.1610030867442203
31,hierarchical_w1,0.1,0,0.3181843341889828,0.4624864985207907,0.21932916729022672,65.43545291371566,0.2193291672902266,0.004039290743393899,2.3789633620946313,9.712459024643719,1.0303760871346974
31,hierarchical_w1,0.1,1,0.31816146565827025,0.46249438179497093,0.21934415254675876,65.43419442289327,0.2193441525467588,0.0040393878787511345,2.378935274757747,9.714733584889279,1.0303547956152987
32,hierarchical_w1,0.1,0,0.3299349271736969,0.4504320272851541,0.2196330455411491,65.36573719533487,0.21963304554114907,0.0037261488841032267,2.1628062754756954,8.358438788149156,1.0483842023886247
32,hierarchical_w1,0.1,1,0.3294012793713423,0.45069498710807876,0.2199037335205791,65.34477353819443,0.21990373352057901,0.003727912914373672,2.1645870799650173,8.357072584017386,1.048359817636128
33,hierarchical_w1,0.1,0,0.3378378434935081,0.4588998746116967,0.2032622818947951,66.78497278097129,0.20326228189479517,0.0037795137129636863,2.231920060346448,7.3017249827740764,1.0611153990145679
33,hierarchical_w1,0.1,1,0.33781074561125857,0.458896510077766,0.20329274431097538,66.78236878125242,0.2032927443109754,0.0037791468734115546,2.2312531790566115,7.303410712357786,1.0611188636700775
34,hierarchical_w1,0.1,0,0.34003537439264825,0.44699384599736647,0.2129707796099853,65.89231124720222,0.21297077960998528,0.003656110581541601,2.4766533162510713,5.818780455299232,1.0823749388501926
34,hierarchical_w1,0.1,1,0.33985912811732727,0.44730702582585097,0.2128338460568218,65.90599881321441,0.21283384605682176,0.003665706839205878,2.482245575652795,5.848182855259845,1.082109631358162
35,hierarchical_w1,0.1,0,0.30078588673066986,0.4566693122097449,0.2425448010595856,63.47748030809359,0.24254480105958542,0.00264819051287859,1.1160801765627049,5.6666105012093455,1.1345791651986354
35,hierarchical_w1,0.1,1,0.3343844272007285,0.4498820594401516,0.2157335133591199,65.6849282196238,0.21573351335911992,0.003368674183441876,1.9787047543776517,6.559560662290319,1.0105734286997157
36,hierarchical_w1,0.1,0,0.3040170181876984,0.450302673499086,0.24568030831321558,63.217360173334434,0.2456803083132156,0.0025526151224926426,1.0339666272328933,6.193458334576158,1.1190021452203758
36,hierarchical_w1,0.1,1,0.30334383626436723,0.45274847114974054,0.24390769258589234,63.36492439351367,0.2439076925858923,0.002575258545474059,1.0318272612946833,6.4519437253851235,1.110486610507618
37,hierarchical_logpf_profile,0.1,0,0.3692881214752122,0.38004091262321466,0.250670965901573,62.08748214963571,0.25067096590157306,0.004043476338794921,4.1147017607255565,9.19413218989595,1.0086130330728507
37,hierarchical_logpf_profile,0.1,1,0.36876655581235096,0.3811982142084984,0.2500352299791507,62.15530518473595,0.2500352299791506,0.004065322519969685,4.121831503424862,9.340995651424501,1.0082602698516039
38,hierarchical_logpf_profile,0.1,0,0.3518494208161651,0.38945930659250627,0.2586912725913286,61.69323259091026,0.2586912725913286,0.00382398377343715,2.156186202744946,6.3317762393443004,1.8506448161918063
38,hierarchical_logpf_profile,0.1,1,0.35742848169669045,0.3907624238747027,0.25180909442860683,62.20763392355438,0.25180909442860683,0.003975417474622771,2.497497597730108,6.271087626358746,1.6885337018078002
39,hierarchical_logpf_profile,0.1,0,0.35450887367595113,0.406166052710468,0.23932507361358088,63.36600022328862,0.23932507361358085,0.004130689118725659,3.336701650957017,8.90864272249116,1.0884579811326849
39,hierarchical_logpf_profile,0.1,1,0.3543855745947913,0.4067603807786374,0.23885404462657117,63.409910763975866,0.23885404462657123,0.004143725438943085,3.3293014007925654,9.01508240225333,1.0890354180932529
40,hierarchical_logpf_profile,0.1,0,0.2081770349121312,0.5599000658993776,0.2319228991884914,62.76290286420125,0.23192289918849132,0.0038193224940096093,1.0202947838452066,14.054054598456535,1.0169190891608235
40,hierarchical_logpf_profile,0.1,1,0.22180522970155217,0.5451985706039445,0.23299619969450358,63.10509603844301,0.23299619969450347,0.0038154535446852005,1.1786030760710438,12.834827615716305,1.026360699467694
41,hierarchical_logpf_profile,0.1,0,0.18025255613466729,0.5295512954658403,0.2901961483994924,57.87383081847325,0.29019614839949237,0.003493695972176467,1.001248306075992,11.196376232927284,1.183673693888207
41,hierarchical_logpf_profile,0.1,1,0.1803950859107046,0.5294327835875753,0.2901721305017201,57.88040745495835,0.2901721305017201,0.0034929271883070803,1.0011545390006618,11.145295899117993,1.1856374922961608
42,hierarchical_logpf_profile,0.1,0,0.28500844215181625,0.4954205924890919,0.2195709653590917,65.30312185909392,0.21957096535909176,0.00287258929163316,1.0006073399453888,8.926355223511289,1.0090135675505418
42,hierarchical_logpf_profile,0.1,1,0.2881413946938639,0.49867081594602514,0.21318778936011093,65.85961149749244,0.21318778936011096,0.002870592022108353,1.00094147006518,8.699287778653565,1.0092246583508289
43,hierarchical_rmsd,0.01,0,0.34801979736294675,0.4480533502078605,0.20392685242919278,66.64723347376889,0.20392685242919276,0.004170064688894217,2.7368333072747197,8.46826720938475,1.0444533872248714
43,hierarchical_rmsd,0.01,1,0.348272894907855,0.447876139307486,0.20385096578465908,66.65188416534151,0.20385096578465906,0.004180239808368034,2.755313186885818,8.462090370921299,1.044411347162075
44,hierarchical_rmsd,0.03,0,0.329485664079873,0.4615431010901006,0.20897123483002658,66.31323248773242,0.2089712348300265,0.00424215257177504,2.3832551191244615,10.764469071760022,1.0754597182567045
44,hierarchical_rmsd,0.03,1,0.33425090736855767,0.45712899906512633,0.20862009356631595,66.3218180126772,0.20862009356631597,0.004143914973578201,2.387156842962875,9.878798440359086,1.074563722616974
45,hierarchical_rmsd,0.01,0,0.311272383128294,0.4716627786867268,0.21706483818497924,65.63556628974253,0.21706483818497924,0.0033146473759729156,1.3407568620375196,12.033511004415828,1.0508107865106715
45,hierarchical_rmsd,0.01,1,0.3079640933246868,0.45084078529423144,0.24119512138108182,63.58747092944586,0.2411951213810818,0.00323812151505201,1.78955821873644,6.411637510096406,1.0753794002270838
46,hierarchical_rmsd,0.03,0,0.303748892560902,0.4662315882200109,0.23001951921908734,64.52583758082284,0.23001951921908725,0.003134692666569618,1.190080818179949,12.062408069418783,1.1062361821836375
46,hierarchical_rmsd,0.03,1,0.32520097031298884,0.4319898914853846,0.24280913820162647,63.38013569090084,0.24280913820162653,0.003962965716244703,2.6429202832784475,11.219718643380043,1.0386563406382936
47,hierarchical_rmsd,0.01,0,0.23466238658788924,0.42734981856576787,0.337987794846343,55.8158043894402,0.33798779484634295,0.003309537124070081,43.36574416238542,4.314036308114669,1.2390303500882465
47,hierarchical_rmsd,0.01,1,0.23402570011727664,0.4276024826236471,0.33837181725907606,55.782150189380616,0.33837181725907617,0.0032944191128438057,43.39139273505638,4.280050250624871,1.2385670835378781
48,hierarchical_rmsd,0.03,0,0.21419471579354196,0.42566731965216853,0.3601379645542894,54.021447457164996,0.3601379645542895,0.0031090260063028857,43.73576169032024,2.3550149336100223,1.9482838021690345
48,hierarchical_rmsd,0.03,1,0.21411920409876395,0.42596198905585836,0.3599188068453778,54.03553264314985,0.35991880684537775,0.0031142281700008777,43.73471504977369,2.376650392184883,1.9356190021241941
49,hierarchical_w1,0.01,0,0.3427607352430306,0.4423458031745127,0.21489346158245687,65.6965530587144,0.21489346158245679,0.003995760216914351,3.048662464656202,6.50954787489629,1.0523175402008074
49,hierarchical_w1,0.01,1,0.34347911210734944,0.44184961437778253,0.2146712735148681,65.71019096120156,0.21467127351486806,0.004013533096502748,3.11554576082554,6.45395802255554,1.0506203471928168
50,hierarchical_w1,0.03,0,0.339336603118288,0.445189868456942,0.21547352842476986,65.67292821889426,0.21547352842476994,0.0037361803742308537,2.66976468503106,5.834216444514426,1.074949946503188
50,hierarchical_w1,0.03,1,0.33977196613500443,0.4449670131131356,0.21526102075186,65.68855187151358,0.21526102075186,0.0037355460326624875,2.6645860495477542,5.8539844084320265,1.073470777691905
51,hierarchical_w1,0.01,0,0.325538699206801,0.4244334325114576,0.25002786828174145,62.76011620422768,0.2500278682817414,0.003352881148688872,2.155027961202218,6.224519005815378,1.1177477777888316
51,hierarchical_w1,0.01,1,0.3361900858430143,0.42425356428646666,0.23955634987051896,63.57119710680359,0.239556349870519,0.0037470851817931177,2.7019774239569587,7.673069991184716,1.0499736630033396
52,hierarchical_w1,0.03,0,0.3585129302641737,0.35791582367235875,0.2835712460634676,59.3907197019701,0.2835712460634676,0.0038078992071529506,3.9610683542205307,6.194150226025466,1.2390667647034002
52,hierarchical_w1,0.03,1,0.3484587510443927,0.3709815718366217,0.2805596771189855,59.84676094743193,0.28055967711898555,0.00386811198951167,3.672788401381599,8.052915145646589,1.1919115733806127
53,hierarchical_w1,0.01,0,0.3095886401846781,0.46221088472755023,0.22820047508777164,64.68269056316866,0.22820047508777166,0.0036272812360017047,1.8746092806810148,8.873739818297718,1.0692779468067504
53,hierarchical_w1,0.01,1,0.3033874365895154,0.4528909875078111,0.24372157590267346,63.38037559727676,0.2437215759026735,0.003686987535079646,1.8721290140812057,9.767158392204825,1.1482047378307787
54,hierarchical_w1,0.03,0,0.3159793626349633,0.3962046117879059,0.28781602557713076,59.67434185952343,0.2878160255771308,0.003263753586461967,2.00883043382429,2.925781926344324,2.41155279309205
54,hierarchical_w1,0.03,1,0.312752628053716,0.3961498866664522,0.29109748527983176,59.43365226248317,0.2910974852798318,0.0032628745311720124,1.9533622131110038,2.9250877817827177,2.491045420440349
55,hierarchical_logpf_profile,0.01,0,0.3477237938932572,0.4223061691207747,0.22997003698596793,64.29273189278,0.22997003698596802,0.003201457648719812,1.7052239911729699,9.404693359090475,1.0469277252629678
55,hierarchical_logpf_profile,0.01,1,0.3434946591330076,0.41684105809652205,0.2396642827704703,63.483304837193465,0.23966428277047033,0.003456793286587843,2.0831078990551104,8.424148417372852,1.088905121993232
56,hierarchical_logpf_profile,0.03,0,0.33318801433823203,0.4656027724701227,0.20120921319164514,66.99492701080288,0.2012092131916452,0.003844366204034485,2.2300345968165898,7.665273709706197,1.0422148099387565
56,hierarchical_logpf_profile,0.03,1,0.33323171304082133,0.4655471947777794,0.20122109218139927,66.99366435191725,0.20122109218139927,0.0038488380553415836,2.237677650193865,7.664437119966968,1.0416714213792757
57,hierarchical_logpf_profile,0.01,0,0.3389763846290026,0.46191373686100756,0.19910987850998976,67.15655331690652,0.1991098785099898,0.004620878779406016,3.1670512586264468,9.769061953794882,1.0128881334920357
57,hierarchical_logpf_profile,0.01,1,0.3347032646838,0.46383303422109934,0.20146370109510073,66.96500051748042,0.2014637010951007,0.003991303546950079,2.3290771918859514,8.899576430896373,1.0063613495559487
58,hierarchical_logpf_profile,0.03,0,0.20208956626758934,0.535714674086543,0.26219575964586767,60.46314303006653,0.2621957596458676,0.0036845269291548867,1.0006628694692605,18.123448003238728,1.0522743686083822
58,hierarchical_logpf_profile,0.03,1,0.19506261788571364,0.5381001495656956,0.2668372325485906,59.922767622267855,0.26683723254859065,0.0037360458808169007,1.0065791197465281,14.277735436501775,1.1444129445648128
59,hierarchical_logpf_profile,0.01,0,0.3458172029325676,0.3852215946566072,0.2689612024108251,60.89433385668388,0.2689612024108251,0.0032704197466187435,2.6292425487712823,6.118421236466682,1.06874618022832
59,hierarchical_logpf_profile,0.01,1,0.35920695599668145,0.3708421836585847,0.269950860344734,60.57149675815297,0.2699508603447339,0.003520099422446741,2.9463051852018283,8.491402236795265,1.0766032253417424
60,hierarchical_logpf_profile,0.03,0,0.27693646179751163,0.5119411812675292,0.21112235693495932,65.9128764192739,0.21112235693495923,0.0031917222699991876,1.0007253657280932,12.05318280649657,1.0504605005267518
60,hierarchical_logpf_profile,0.03,1,0.2788140761468701,0.5071098535432492,0.21407607030988077,65.69293650654845,0.21407607030988074,0.003094106108937693,1.0007786838110206,10.478563427722944,1.0648429864158075
